UNITID,F3A01,F3A02,F3E03A1,F3E03B1,F3C01,F3C06,F3B02,F3C03A,F3C03B,,,,
209719,,,8600,70000,239726,0,,0,0,,,,
210340,,,96217,104117,225936,0,,0,0,,,,
210474,,,11250,121405,235621,0,,0,0,,,,
210599,8607517,2703957,0,2383721,2644187,21650,9674282,368903,996,,,,
210711,,,256469,273610,474207,0,,0,0,,,,
210748,,,29792,0,133398,0,,0,0,,,,
210784,,,566937,496069,938901,0,,0,0,,,,
211006,,,210238,260385,1250132,129200,,673783,0,,,,
211316,,,64316,78000,96405,0,,0,0,,,,
211334,,,118034,59447,210953,0,,25773,0,,,,
211477,19662105,2878841,1522794,3869585,2285342,799196,17970225,1130951,0,,,,
211802,,,155477,186572,272992,87386,,175485,28935,,,,
212045,3410490,528715,342592,477328,661559,0,4764991,191597,164819,,,,
212230,,,0,41101,145966,0,,27750,0,,,,
212267,,,0,82181,283930,0,,31540,0,,,,
212276,,,0,53934,200657,0,,5783,0,,,,
212294,,,0,42740,213211,0,,42830,0,,,,
212300,,,0,41529,126783,0,,4182,0,,,,
212328,,,0,63974,205052,0,,4790,0,,,,
212337,,,0,62144,521627,0,,46574,0,,,,
212355,,,0,55119,474455,0,,12000,0,,,,
212382,,,0,130079,511744,0,,15038,0,,,,
212391,,,0,71838,398666,0,,15280,0,,,,
212434,1372197,187942,88587,395221,815703,0,3726362,489064,112104,,,,
212753,,,0,61598,319793,0,,17100,0,,,,
212993,7206873,6729396,350577,2886,502637,0,8237933,253017,2600,,,,
213181,5327197,955079,366070,600386,1678915,0,6098486,221232,63668,,,,
213215,,,25439,212554,282772,0,,0,0,,,,
213330,,,8500,23230,20316,0,,1222,0,,,,
213455,,,33425,187420,272715,0,,10033,0,,,,
213473,483065,281988,313947,303861,351909,0,1334420,78687,0,,,,
213491,,,2853,31487,55858,0,,0,0,,,,
213534,607959,401819,735197,425235,2932158,0,8022889,838531,0,,,,
213570,,,0,318493,2068146,0,,22632,0,,,,
213589,,,0,267365,1240166,0,,222454,0,,,,
213914,741439,498268,580303,639372,986046,0,5118310,595490,23101,,,,
213932,,,504677,37946,372524,0,,0,0,,,,
214290,6159216,4521225,339383,607826,2531047,0,7907596,295082,0,,,,
214892,4320312,2813748,387825,635266,855453,287656,4226919,133277,113128,,,,
214944,4598719,2306713,935847,1232796,1284507,290386,6590444,343068,0,,,,
215008,,,149894,137376,172452,0,,103122,0,,,,
215044,,,36741,110707,338843,0,,0,0,,,,
215336,,,125022,45234,150220,0,,15122,0,,,,
215530,,,24799,131935,259139,0,,0,0,,,,
215637,2902306,2246741,35597,35258,760156,0,9164558,0,0,,,,
215983,,,0,0,136649,0,,82626,0,,,,
215992,1933826,208967,464101,234980,781522,0,2894341,191460,0,,,,
216074,,,267274,62000,175561,0,,0,0,,,,
216083,3178862,1328663,948616,321069,1073219,67360,7371513,740157,0,,,,
216223,,,294512,163620,481622,0,,0,0,,,,
216418,8053782,318245,0,550,17937,5885,1365519,22346,0,,,,
216436,10648821,2396869,497,210423,546281,0,14659523,617570,36228,,,,
216445,,,0,137901,294736,0,,689780,19524,,,,
216454,,,72,174530,368125,0,,546033,105859,,,,
216579,,,34514,0,185368,25709,,0,0,,,,
216746,,,899086,0,89734,0,,27692,0,,,,
216782,1950576,1519597,41858,390643,1231338,0,4466870,334373,0,,,,
217077,43986585,30407322,2141954,995696,2323425,519291,55971216,1113701,0,,,,
217323,,,342143,82419,1138652,0,,0,0,,,,
217581,,,0,55118,265922,0,,28017,0,,,,
217794,,,57924,0,237344,0,,0,0,,,,
217828,,,94188,18008,143207,0,,0,0,,,,
218043,894073,417382,4201,48262,81847,0,603279,0,0,,,,
218159,,,54059,13774,493981,16500,,500,0,,,,
218195,,,35152,10470,472994,15400,,753,0,,,,
218867,,,29834,24792,90184,1000,,0,0,,,,
219037,,,44788,44297,250317,3214,,5714,0,,,,
219125,,,87140,46475,332887,0,,0,78079,,,,
219204,27638000,35266000,3364620,2068359,5159367,596044,30201063,169052,0,,,,
219453,,,147040,110041,426427,34432,,5800,3764,,,,
219587,,,15500,5000,204763,0,,0,0,,,,
219851,,,25000,75000,415299,0,,0,0,,,,
219903,5866000,685000,830000,1363000,6158000,385000,14897000,618000,97000,,,,
220002,16760293,15649872,219496,0,380929,0,11491731,203976,0,,,,
220118,693483,226372,271631,359190,1242625,0,3468999,105004,38386,,,,
220163,,,57897,0,153205,0,,0,0,,,,
220491,,,60165,192099,674773,0,,0,0,,,,
220552,37834287,27967686,3931407,10396400,16902700,286622,101094481,4897114,0,,,,
220765,,,207798,159877,976930,0,,0,5000,,,,
221148,,,0,824204,5977728,0,,272000,0,,,,
221829,,,0,0,614948,0,,0,0,,,,
222886,,,496403,220623,805880,0,,0,43159,,,,
222938,10210995,1622891,1898845,1526116,2176690,1922653,17388140,2933,0,,,,
223056,,,73686,45422,212556,0,,0,0,,,,
223083,19559905,10885631,602505,101221,1658275,0,9222285,0,0,,,,
223472,178088,106048,351666,465374,1041052,0,3603037,0,0,,,,
223852,,,163258,97564,175937,0,,0,0,,,,
224013,,,0,0,118922,0,,0,0,,,,
224156,,,1259508,1720728,2615064,0,,301279,1049,,,,
224660,2904463,1790841,2046517,801555,2112079,0,11423029,0,0,,,,
224679,4356694,2686262,3545331,1469719,5408582,0,16287836,0,0,,,,
224758,,,93962,33261,116483,0,,0,0,,,,
224776,1796165,1468935,965650,1138240,1873875,2041299,11356338,27543,0,,,,
224828,,,386247,53000,332601,5493,,0,0,,,,
225991,562272,559220,201000,166000,389185,0,1973607,0,0,,,,
226125,,,106730,32325,693433,0,,0,0,,,,
226277,,,0,626624,4175353,0,,0,0,,,,
226860,,,77713,44194,154500,0,,0,0,,,,
226879,930117,257047,188604,824631,645719,0,2548191,0,0,,,,
226903,48868705,17225516,641251,3491895,3755260,0,59677683,0,0,,,,
227058,,,257834,3526,484005,0,,0,0,,,,
227298,,,214330,112694,627849,0,,120000,0,,,,
227313,,,92619,433186,1122955,0,,19500,0,,,,
227322,,,110748,435165,1155552,0,,0,0,,,,
227748,,,470560,988420,1228501,0,,90730,0,,,,
228088,,,2000,19380,109930,0,,0,0,,,,
228185,,,96000,3000,180300,0,,0,0,,,,
228200,,,421141,371752,2712524,0,,0,0,,,,
228219,,,455869,372007,2388231,0,,1500,0,,,,
228282,,,275805,46588,489963,0,,179459,0,,,,
229416,,,5184000,10823000,5572000,1804000,,0,0,,,,
229425,,,247245,226649,4033883,0,,0,0,,,,
229522,,,27734,33725,232374,0,,0,0,,,,
229656,,,52826,205966,1232632,0,,0,0,,,,
230056,629543,118876,184142,203492,458551,0,3039522,0,0,,,,
230065,,,0,0,478006,0,,12969,0,,,,
230144,,,21940,19405,218906,2750,,3500,0,,,,
230199,,,1400,22236,186405,0,,0,0,,,,
230205,,,0,0,104960,0,,0,0,,,,
230214,,,147845,249094,871524,0,,0,5750,,,,
230366,,,497988,284895,493512,0,,0,0,,,,
230977,1980883,1217810,60900,6500,121576,0,870360,11900,0,,,,
231004,,,88627,205732,188077,0,,0,30820,,,,
231280,,,117141,43610,415331,0,,1062,0,,,,
231411,5276558,1219148,1209687,936730,1189391,301047,7298689,0,61455,,,,
231721,,,29066,2500,49242,0,,0,0,,,,
231785,25575400,1352510,2042983,9226072,7316680,5404982,29441127,0,0,,,,
232016,1464591,409983,432064,399173,623975,0,3617946,14954,0,,,,
232724,,,50657,62144,36322,0,,0,0,,,,
232797,21669809,2913754,213015,632867,4994815,500540,14167864,9815,0,,,,
232919,,,769477,1037302,2044807,0,,2500,0,,,,
233082,226884,226884,75321,127352,261518,0,2509630,0,0,,,,
233286,,,68522,124377,520148,0,,0,0,,,,
233329,3037244,8841542,0,1261230,1578463,45336,6151293,100672,9331,,,,
233666,,,138354,8988,83056,0,,0,0,,,,
233684,155477946,1711776,4992221,12959261,11486547,11538185,47144527,0,0,,,,
234119,,,0,55884,263852,0,,44714,0,,,,
234924,,,149260,291145,982985,0,,0,298545,,,,
235088,,,355495,596420,724424,40500,,38545,0,,,,
235158,,,0,253517,302285,0,,19025,0,,,,
235307,,,422080,211035,557017,0,,129606,0,,,,
235352,,,102705,86386,96413,0,,0,0,,,,
235501,,,208704,1110911,1218971,0,,99647,0,,,,
235583,,,1837331,0,819523,74676,,473829,0,,,,
236018,,,0,0,341956,0,,0,16410,,,,
236744,,,58942,9352,252864,0,,118897,0,,,,
237127,,,7442,5582,276341,0,,500,0,,,,
237303,,,102080,0,363798,0,,15216,0,,,,
237321,,,10228,5114,268063,0,,50539,0,,,,
237437,2095134,137737,173096,466628,1351012,0,2188954,170280,0,,,,
237552,,,40758,33297,189012,0,,0,0,,,,
237570,,,41958,27600,290597,0,,0,0,,,,
237598,488110,106144,0,33859,134210,0,274148,22935,0,,,,
237783,32479902,5539524,2622735,4872841,3017704,3091306,14331784,100950,0,,,,
237987,4222037,1215611,198977,718723,1545208,592684,3820345,342637,0,,,,
237996,5476125,2835485,786736,2143170,3256056,1406784,8766178,531647,0,,,,
238005,,,25000,101748,491053,0,,100,0,,,,
238175,,,412244,283341,431287,0,,0,0,,,,
238810,,,87272,66575,101860,0,,0,0,,,,
239877,,,7168,29116,114778,0,,0,0,,,,
240709,,,3000,7000,389048,0,,8600,0,,,,
240718,14366931,7877580,410110,2382244,354038,0,10521606,0,0,,,,
240879,,,212121,12320,1748112,0,,0,0,,,,
240985,1998612,992126,282072,31157,545668,0,646281,0,14898,,,,
241146,,,284928,1169824,2917833,0,,19686,0,,,,
241182,,,20384,1169544,2169416,0,,45523,0,,,,
241304,14017096,16117130,179374,601070,4890161,238478,22579285,41400,0,,,,
241517,9140503,3022182,415269,43212,6656670,0,7321482,31984,2483,,,,
241906,,,92150,140720,1445593,0,,24633,12112,,,,
242112,5212563,3323135,1547335,742721,3591624,0,6189340,61494,19288,,,,
242413,,,13000,65000,406496,0,,0,0,,,,
242750,,,144714,126575,455340,7171,,10200,0,,,,
242820,,,1168934,140862,5330079,0,,101994,73236,,,,
242945,,,153256,11021,1772066,0,,72073,0,,,,
242954,,,42230,3040,826374,0,,21504,0,,,,
242972,100047566,63529764,13280987,29525981,124921145,0,191609375,804984,0,,,,
243081,73167083,35126085,2790583,2293975,291932,0,32746792,0,0,,,,
243841,6402669,1775373,9039207,0,11467763,434656,13700324,630124,0,,,,
244279,4706225,1448917,373216,551324,840067,0,2118257,121348,0,,,,
244613,,,84144,566038,936148,0,,0,100635,,,,
245281,,,86436,40474,360881,0,,0,0,,,,
245962,1489300,806224,517520,326448,1369883,0,5177026,0,0,,,,
245980,,,1830,42379,187123,0,,0,22662,,,,
246035,,,156393,1325121,905101,0,,0,12272,,,,
246406,,,88466,65000,147062,0,,0,0,,,,
246415,,,43178,71659,383746,0,,0,0,,,,
246974,,,213016,1336274,1025555,0,,11720,0,,,,
247010,,,18332,83306,187616,0,,2983,1811,,,,
247047,,,36603,71042,286942,0,,0,0,,,,
247065,11490023,2442741,1964331,53542,2900739,0,12210297,359786,0,,,,
247409,,,119526,119526,479290,0,,0,10500,,,,
248192,,,1,20000,217654,0,,0,0,,,,
248527,,,7100,45243,253429,0,,0,0,,,,
248660,,,136830,176073,730318,0,,0,0,,,,
248703,,,103774,301582,687011,0,,0,0,,,,
248934,109821228,36220693,14344549,62752526,42887136,16795920,216886118,42897,0,,,,
249061,,,66620,0,27677,0,,0,0,,,,
249238,,,178247,427516,1699738,0,,0,0,,,,
249566,,,632485,204524,365276,0,,607301,0,,,,
249609,407146,1581273,0,784442,934903,17758,2816218,173338,0,,,,
250027,3654967,334211,1020359,453308,1085534,0,4443888,217217,0,,,,
250285,,,704110,1040255,1911587,0,,19655,0,,,,
250902,,,0,0,537250,0,,0,0,,,,
251312,7560841,1432649,580322,1914535,2307803,0,17507919,55196,0,,,,
260664,,,114093,295851,517194,0,,0,0,,,,
260691,9930267,4376415,385308,3547166,2040753,84222,12677385,10383,0,,,,
260789,11420876,5748339,2742474,4375398,10285400,1145533,34891533,1114245,0,,,,
260813,1347594,622211,309222,74072,563782,0,5042136,0,0,,,,
260929,,,178607,234718,1051858,0,,0,0,,,,
260965,,,232065,116032,223421,3345,,0,0,,,,
260992,5515000,8101000,2347000,0,2357494,0,11244000,0,0,,,,
261436,,,1102063,718442,2507917,0,,0,0,,,,
261676,,,106386,106386,212509,0,,0,8178,,,,
261685,,,105455,105455,253989,0,,3920,0,,,,
261719,,,210384,586816,876668,2310,,4603,2000,,,,
262341,,,187753,2366615,1284504,0,,1091,34513,,,,
262369,,,183964,30962,347983,0,,0,0,,,,
262402,,,96860,121042,16328,209171,,248454,76911,,,,
362782,,,25000,50000,351132,0,,0,0,,,,
363013,,,70084,70084,226570,0,,0,4410,,,,
363077,,,0,0,197187,0,,0,0,,,,
363147,,,20000,20000,952318,0,,21235,0,,,,
363439,,,286812,0,354351,0,,131471,0,,,,
363679,,,516446,96985,794556,0,,18098,0,,,,
363882,,,15000,15000,221555,0,,8500,0,,,,
363934,14508199,8661495,266572,5646321,2468539,4062027,17130739,2384,0,,,,
364760,,,0,0,311586,700,,0,0,,,,
365091,,,380796,122932,576977,0,,0,0,,,,
365125,,,755140,332131,470429,0,,0,0,,,,
365204,21712897,9695310,4260085,1467014,18406614,0,48425847,866404,0,,,,
365693,,,572560,41516,545973,0,,90014,0,,,,
365824,,,120110,120110,653100,0,,0,9795,,,,
365833,,,128450,128450,613783,0,,0,15990,,,,
366155,,,39476,24360,134115,0,,0,0,,,,
366191,,,3565000,7842000,3268000,1239000,,0,0,,,,
366270,1724326,362258,568139,23188,1199815,0,4296209,11370,54205,,,,
366289,24553597,14611805,578019,867032,4349530,0,13061050,0,0,,,,
366438,,,63428,70170,220766,0,,3500,0,,,,
366553,8696919,7400309,149190,1425861,4618593,0,15520220,814323,0,,,,
366605,790561,88654,691668,517942,0,0,2754785,0,0,,,,
367051,,,123957,47721,114517,0,,0,0,,,,
367088,,,14880,103225,316872,0,,0,0,,,,
367103,,,32330,364510,355842,0,,0,0,,,,
367112,399071,274824,526047,327525,2710435,0,3912373,37491,0,,,,
367158,,,88845,88845,269691,0,,0,0,,,,
367334,,,374402,315594,1105931,0,,371550,0,,,,
367361,,,28994,423291,350033,0,,0,0,,,,
367431,,,6500,26536,90717,0,,6684,0,,,,
367954,235605000,66934000,2983000,4549000,0,157655,102720000,0,0,,,,
367981,,,87256,80498,214729,0,,0,0,,,,
368036,,,0,0,54014,0,,3541,0,,,,
368230,,,0,68931,351646,0,,4800,0,,,,
368443,,,253555,7027,2718545,0,,2308846,7500,,,,
368452,4380362,1718696,1161939,96800,1257197,0,4228316,166000,0,,,,
368540,,,0,16120,78583,0,,0,0,,,,
368629,6993725,5107449,277407,2100590,1078504,54160,9345821,0,0,,,,
368832,,,25239,1933,254002,0,,0,0,,,,
369400,27363000,8909000,6318000,17580000,6540000,2338000,40793000,3000,0,,,,
369446,,,78756,9002,197890,0,,0,0,,,,
369455,5295328,6214355,147605,105424,215723,0,2012237,0,0,,,,
369516,5477663,2778451,192305,820422,1117966,0,4792890,0,0,,,,
369686,,,83468,244035,1358798,0,,0,0,,,,
369695,,,77791,59147,350652,0,,0,0,,,,
369783,,,100000,666107,1255105,0,,0,0,,,,
369950,,,155004,600851,242727,0,,0,179615,,,,
371034,,,10400,12001,42687,0,,0,0,,,,
371052,,,0,988408,1939421,144698,,52941,440,,,,
371830,,,9140,4325,55000,0,,0,0,,,,
371928,,,198369,80140,433998,0,,0,0,,,,
371964,3627131,7666249,772007,905713,1600079,0,6092924,97672,0,,,,
372028,,,15687,113992,579972,0,,15494,6203,,,,
372073,1170694,957737,689176,602535,800653,22045,4284824,39196,0,,,,
372240,,,0,0,123305,1,,0,0,,,,
372329,4392659,3070471,558000,2484931,3031955,141800,9762039,149637,0,,,,
372356,,,0,352781,552391,0,,0,0,,,,
372462,,,31150,36640,265582,0,,0,0,,,,
372921,11759695,2243185,0,2078867,3180454,430015,8607786,237504,0,,,,
373085,736396,289878,116581,116581,245326,0,1165809,0,6833,,,,
373216,,,27756,243825,254985,0,,0,0,,,,
373456,,,1500,10134,103445,0,,0,0,,,,
373526,,,140732,513416,594138,0,,0,0,,,,
373678,,,1348,100556,381793,4900,,10800,80102,,,,
373696,,,15745,134973,328998,0,,13760,0,,,,
373784,,,0,2213303,2147512,38062,,65253,46610,,,,
374316,,,17997,22566,397901,0,,0,0,,,,
374343,,,40500,43000,167709,0,,0,0,,,,
374574,,,0,339814,2552399,0,,0,0,,,,
375540,,,45927,0,108123,0,,0,0,,,,
375939,,,241363,20048,118279,1380,,5028,0,,,,
375984,,,0,160052,1022119,0,,22700,0,,,,
376242,,,45210,89753,1147497,0,,24799,0,,,,
376288,,,9032,89687,344560,0,,0,0,,,,
376321,0,0,14321,1205057,8694084,0,12141349,152588,0,,,,
376330,,,38583,1187872,1623498,0,,43617,0,,,,
376446,,,74706,117278,225770,0,,0,0,,,,
376631,,,62322,14902,105091,0,,0,0,,,,
376677,,,28132,0,443283,0,,0,0,,,,
377193,,,43178,70532,263661,0,,0,0,,,,
377218,3292973,1476427,398916,622831,530629,0,3068127,0,0,,,,
377272,,,172685,5500,150219,0,,4750,0,,,,
377281,,,399136,21000,418702,0,,16417,0,,,,
377315,,,417242,379311,956751,0,,0,0,,,,
377342,1489978,801151,842686,245062,3427223,0,6636699,78447,0,,,,
377449,2075229,574231,465319,615699,970052,0,4219199,0,0,,,,
377458,2046193,574687,672738,687655,1126175,0,4740635,28585,0,,,,
377546,573137,88386,268411,83575,323063,0,2149582,304442,0,,,,
377643,,,33242,0,405832,0,,0,0,,,,
377652,,,1679,408057,569561,0,,271777,0,,,,
377661,4337699,3420205,5649,1554887,4249947,0,9711997,690474,0,,,,
377722,,,2059349,270997,1182358,0,,0,36033,,,,
377759,,,120000,145000,267772,0,,8431,0,,,,
378105,2617435,1302974,46711,405654,1353614,0,2144688,169744,0,,,,
378576,14150430,339667,4625343,10744,197846,0,9688268,0,0,,,,
378886,,,0,0,748720,0,,0,0,,,,
378956,,,1216424,2332504,5494584,0,,252546,0,,,,
379746,,,0,218853,366576,0,,0,0,,,,
379782,814831,333177,143953,403204,943188,0,2084192,0,0,,,,
380067,,,398511,200,2094127,0,,0,0,,,,
380438,22291238,1381458,1033072,475931,1911859,0,12847114,0,0,,,,
381352,758111,286782,99624,38822,0,0,1542964,0,0,,,,
381370,,,65000,125000,850823,0,,0,0,,,,
381404,,,86354,470022,1380883,0,,7505,0,,,,
381486,,,0,0,77486,0,,5270,0,,,,
381732,,,96404,39999,121410,0,,0,0,,,,
382461,,,5112,8961,244361,0,,0,0,,,,
382780,,,138892,75755,666172,0,,0,0,,,,
382957,3305386,7617766,0,1517545,2063989,121265,7001681,9571,0,,,,
383020,339830,113164,0,605858,21692,0,1193647,0,0,,,,
383163,,,515200,294025,756268,0,,0,0,,,,
383279,,,109639,98675,249903,0,,0,0,,,,
383297,,,430016,6650,409241,0,,0,0,,,,
383464,,,1100,74000,483665,0,,0,0,,,,
383765,,,0,63847,534736,0,,2187,0,,,,
384236,,,0,3107733,2891732,0,,0,0,,,,
384245,,,0,3651074,2998756,0,,0,0,,,,
384412,6439980,3794593,55000,1297545,252510,0,6951549,0,0,,,,
385132,,,149460,256161,435221,41390,,0,0,,,,
385503,1741532,517553,0,913817,1082637,157747,4549203,239108,3953,,,,
385549,,,48119,197431,294651,0,,0,0,,,,
387925,,,149222,300894,1118138,0,,0,0,,,,
388663,,,11220,33690,206400,0,,0,0,,,,
391005,,,90819,64183,587044,0,,0,0,,,,
391759,,,61279,19350,61975,0,,0,0,,,,
392257,16712863,11553423,0,4657734,8693858,0,49190460,0,0,,,,
392415,2983350,3186373,0,1441495,1720552,44845,5311147,12198,0,,,,
393524,,,112864,134338,535222,0,,0,0,,,,
393649,,,0,4863146,4398963,0,,0,0,,,,
393861,,,35000,35000,459752,0,,0,0,,,,
395690,,,244063,1046878,3140672,0,,0,0,,,,
397942,,,0,4961391,4117822,0,,0,0,,,,
399869,5658101,1487483,1945325,402482,2960820,0,6708017,152708,38307,,,,
400080,,,585472,201556,3757841,0,,0,0,,,,
400187,,,518114,553599,1623812,0,,0,0,,,,
400558,616416,516379,51024,42570,0,0,686222,0,0,,,,
401481,,,167,202,114840,0,,0,0,,,,
401764,,,92731,151599,913691,0,,0,0,,,,
402563,,,465981,3395,896583,0,,16429,4500,,,,
402800,,,96991,119688,637261,0,,0,0,,,,
404037,,,36000,18500,56548,0,,0,0,,,,
404338,4926839,2469786,1369840,483472,268496,321553,8057850,0,0,,,,
404684,,,642675,18764,2418434,0,,26196,0,,,,
404806,469568,159465,61790,158674,1159633,84560,1540922,12600,0,,,,
404912,8309094,2215696,283874,2697065,1655879,36692,9885608,0,0,,,,
404994,32573051,17987525,5432129,20033922,23670101,0,63802302,3780462,0,,,,
405012,,,286,11091,171931,0,,0,0,,,,
405076,,,749357,1121558,3001699,0,,0,0,,,,
406149,,,100472,140130,250172,0,,0,0,,,,
406413,,,550,88064,153006,0,,0,0,,,,
406486,,,161848,34274,153620,0,,0,0,,,,
407090,,,10587,747406,942936,0,,0,0,,,,
407142,,,12014,93996,281985,0,,66406,0,,,,
407151,,,217063,18984,218075,45873,,51573,0,,,,
407179,,,0,6837,268950,0,,24265,0,,,,
407355,,,256558,773816,531270,0,,150981,0,,,,
407391,,,0,0,100500,0,,0,0,,,,
407407,,,0,0,146949,0,,0,0,,,,
407425,,,0,0,122297,0,,0,0,,,,
407434,,,0,0,188642,0,,0,0,,,,
407470,,,0,61185,707375,0,,26760,0,,,,
407568,,,20000,20000,426438,0,,15799,0,,,,
407735,,,0,56369,236600,0,,5681,0,,,,
408066,,,152900,141776,640216,0,,0,0,,,,
408163,,,164403,47803,158020,16450,,0,0,,,,
408385,,,707936,1509957,3432750,0,,0,0,,,,
408729,1381228,76292,320290,211344,583773,0,1685154,130103,0,,,,
408844,24724889,6303305,2608745,4227450,15400717,0,48693054,1906760,0,,,,
408862,,,512364,118314,1116156,0,,0,0,,,,
409032,,,223000,110000,1201167,0,,0,0,,,,
409193,,,345620,80717,1791276,0,,0,44644,,,,
410797,,,210145,379637,991967,0,,0,0,,,,
410964,,,22943,24922,46058,0,,18840,0,,,,
411684,,,96819,20552,502521,0,,0,0,,,,
412544,,,58163,13669,279569,364063,,32494,0,,,,
413413,161626000,106265000,50102000,51204000,21516000,50633000,379801000,0,0,,,,
413680,39217587,3459752,2192018,1391661,2287595,0,8786258,101125,0,,,,
413820,,,243,49805,86004,0,,0,0,,,,
413893,,,0,4185083,4544471,0,,0,0,,,,
413945,,,230238,195414,269654,0,,0,0,,,,
413972,,,72000,0,96413,0,,0,0,,,,
414063,,,138918,128627,178926,0,,17000,0,,,,
414124,,,429921,555631,1383397,0,,798019,0,,,,
414461,15687695,11912069,1600024,1600024,15680799,0,19047904,176755,0,,,,
414489,,,52299,45422,229727,0,,0,0,,,,
414540,,,2584,409630,955104,0,,0,0,,,,
414595,44406708,11449061,3479406,7514,266517,0,9687112,24305,0,,,,
414869,,,78812,133125,950147,0,,0,0,,,,
415039,,,0,60585,186478,0,,20235,0,,,,
415057,,,184743,147311,124281,0,,16000,18000,,,,
415987,,,0,213734,1686785,0,,0,0,,,,
416458,,,62200,130315,2187339,0,,0,0,,,,
417008,,,175168,146132,600039,0,,0,0,,,,
417062,,,120930,28013,164056,0,,0,0,,,,
417503,,,155906,129602,576703,20000,,0,0,,,,
417600,,,0,0,45997,0,,22568,0,,,,
417725,,,13076,27349,281937,0,,0,0,,,,
418171,,,0,0,41511,0,,0,0,,,,
418269,,,125787,226769,1161456,0,,0,0,,,,
418658,,,0,994340,1060561,22324,,426524,0,,,,
418764,,,16575,17378,192247,0,,0,0,,,,
418773,,,783806,603908,2693250,0,,14685,145678,,,,
418782,,,39284,282738,1658383,0,,0,43342,,,,
418889,763928,88383,71513,114367,66979,0,1077570,80795,0,,,,
418913,,,4040,7192,79753,0,,0,0,,,,
418968,,,375632,23589,724446,0,,0,0,,,,
419183,,,56927,13902,399601,0,,12000,0,,,,
419217,,,309760,128000,234774,0,,0,0,,,,
419235,,,187410,13427,1009994,0,,0,0,,,,
419244,984383,439228,0,0,674656,0,3007320,0,0,,,,
419253,,,58914,189768,414502,0,,0,0,,,,
419280,,,0,0,122196,0,,0,0,,,,
419341,869191,293511,19856,41292,172271,348,535372,50829,0,,,,
419703,,,77571,717035,3178075,0,,0,50100,,,,
419712,,,16672,190606,1045109,0,,0,18300,,,,
419721,,,63031,367058,1789647,0,,0,24300,,,,
420024,2065097,457554,288000,710447,951582,0,4350159,28222,0,,,,
420255,,,5691,6692,241349,0,,2285,0,,,,
420343,,,0,337685,3142405,0,,0,0,,,,
420370,1734346,1650460,379959,1244079,1730651,0,5353597,0,4400,,,,
421513,792404,425585,133326,133326,364307,0,1333262,0,8376,,,,
421610,,,41686,38830,104357,0,,18532,0,,,,
421665,,,47819,0,90040,0,,0,0,,,,
421708,30265481,13955391,265806,1291008,2255653,0,42966404,0,0,,,,
421771,,,39675,52007,110190,0,,0,0,,,,
421832,3355650,69000,310620,1788,917345,0,2577578,0,0,,,,
421841,6625156,3928888,763567,2084456,688154,4012196,12933869,48260,0,,,,
421896,,,67245,93792,1230547,60033,,87610,0,,,,
422695,2842442,830225,422918,306082,992565,0,5221639,0,0,,,,
422835,,,729639,182409,1439950,0,,0,0,,,,
423120,,,90485,166600,657607,0,,18262,0,,,,
423397,,,48006,43048,1614832,0,,0,0,,,,
423412,,,28361,71579,172864,0,,0,0,,,,
425250,1063674,150584,215183,393093,517272,0,1086840,0,0,,,,
427335,,,1000,500,89948,0,,0,0,,,,
427973,,,532780,829891,832493,0,,1375,0,,,,
427982,2648309,405528,617396,596433,647055,0,4226006,0,0,,,,
428000,,,36054,1552763,58602,0,,0,0,,,,
428055,,,213834,93164,1363128,0,,32922,0,,,,
428125,,,180552,41950,344587,0,,0,0,,,,
428143,,,206630,204764,826972,0,,0,0,,,,
428170,9202272,6726219,269447,4202132,3392244,0,27707646,0,0,,,,
429012,,,1419244,7031915,75318,0,,0,0,,,,
429085,2291080,339343,258919,53047,0,0,1938018,0,0,,,,
429094,2185891,655098,1233676,492324,0,39388,4032647,0,0,,,,
430184,38172494,10133102,2729948,8267086,7850333,4478343,27729981,0,0,,,,
430227,,,0,41891,331022,0,,27736,0,,,,
430245,,,469494,1234510,2852836,0,,0,0,,,,
430403,,,933832,174649,5091448,0,,0,49167,,,,
430485,1631553,121334,47290,88319,78112,0,1121993,18109,0,,,,
430564,,,298355,0,17664,0,,0,0,,,,
430582,,,1029886,820319,114019,30425,,0,0,,,,
430704,938378,541346,173690,111989,6842,0,2489967,0,0,,,,
430935,1308595,269617,331045,341861,3196599,0,3297618,0,3135,,,,
431071,,,101198,49735,194275,0,,15558,0,,,,
431099,,,24738,206068,444698,0,,0,0,,,,
431123,,,132805,68236,2350752,0,,26259,0,,,,
431141,4731812,6439727,620855,3117902,6194112,50126,21181953,80386,654210,,,,
431284,,,25881,10869,146316,0,,0,0,,,,
432117,,,69490,18408,633282,21500,,5500,0,,,,
433004,2384183,1292782,1440602,1138419,795461,0,9190606,0,0,,,,
433013,10228404,4825155,1278682,261027,1198989,0,10416295,140265,13673,,,,
433101,,,0,444955,2782751,0,,0,0,,,,
433420,5333973,5284096,117603,463514,939932,97775,10499313,168668,0,,,,
434140,8073996,983368,229767,2669772,2763110,14443,9228376,147524,0,,,,
434159,,,0,207728,1380910,0,,0,0,,,,
434274,,,10000,6250,276200,62500,,4000,62530,,,,
434283,,,1500,2000,81696,0,,0,0,,,,
434292,,,240,200,12345,0,,0,0,,,,
434308,,,92888,186948,898418,0,,0,0,,,,
434344,,,929889,1426448,676253,0,,13750,0,,,,
434432,325000,215619,21632,960,65230,0,330120,0,0,,,,
