,,1 = public,1 = yes,1 = yes,1 = yes,"If tution varies for out of state students 1 yes 0 = no,",Offer room,Offer board,,,,,,,,,,,1 = Secondary GPA required to be reported,1 = requiredCompletion of college-preparatory program when apply,Num_applicants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UNITID,TYPE,religious_affiliation,for_profit,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 ,ADMCON1,ADMCON4,APPLCN,GRCOHRT,UGENTERN,RRFTCT,RET_PCF,STUFACR ,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT,STABBR,HLOFFER,SA09MOT,CREDITS1,CREDITS3,SLO8,STUSRV2,STUSRV3,LIBRES1,TUITPL1,TUITPL3,ATHASSOC, F1A06 ,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
32,102553,1,0,0,1,1,1,1,7224,1526,7224,1526,23072,2156,8622,25228,8486,8486,0,0,3081,727,2062,789,68,13,1007,8,44,34392186,23,11549040,20,15564270,AK,9,33935335,1,1,1,1,1,1,0,1,1,"642,709,034.00",139818803,30436118,30382395,12259696,327450,267211,11366588,278963029
33,102614,1,0,0,1,1,1,2,7301,1868,7301,1868,23319,2519,7176,21312,4250,4250,1,0,1361,513,1489,348,78,11,539,9,49,21079651,23,5588627,20,8588461,AK,9,24994426,1,1,1,1,1,1,0,1,1,"1,125,691,161.00",420376940,35917438,24895295,6269293,227243,0,6702094,375381569
34,102632,1,0,0,1,1,1,2,7250,1602,7250,1602,23154,2248,6960,21096,3716,3716,1,0,488,105,390,60,63,10,109,6,41,3734898,17,1130513,16,1891078,AK,7,6593060,1,1,1,1,1,1,0,1,2,"101,018,534.00",22949253,5980831,4586905,1288675,118511,0,1748965,45509812
35,102669,0,1,0,0,0,1,1,20350,410,20350,410,20350,410,20760,20760,4410,4410,1,0,428,20,101,48,56,8,45,13,86,3927991,44,593483,50,1154510,AK,9,2321579,1,1,1,1,1,1,0,1,2,"144,152,746.00",13314796,408756,3101875,647359,2947130,16024724,104250,0
36,104151,1,0,0,1,1,1,2,10710,628,10710,628,28800,628,11338,29428,4412,4412,0,0,53516,12427,17702,13837,86,18,13837,22,85,575533851,33,97573231,35,139147909,AZ,9,298228010,1,1,1,1,1,1,0,1,1,"4,696,817,000.00",3498626000,420381000,180549000,173823000,3007000,23000,462730000,3212912000
37,104179,1,0,0,1,1,1,2,10990,1394,10990,1394,33273,1394,12716,36743,5550,3550,1,0,43540,5374,10018,6036,85,15,6036,17,77,340949508,29,48510329,33,73837261,AZ,9,148507739,1,1,1,1,1,1,1,1,1,"3,844,898,000.00",2788431000,309535000,110358000,51518000,7814000,0,267055000,2366260
38,104586,0,0,0,1,0,1,2,36456,1408,36456,1408,36456,1408,37864,37864,4822,4822,0,1,4250,739,859,752,82,18,752,26,92,42732183,20,2800175,40,7533487,AZ,7,11065718,1,1,0,1,1,1,0,1,1,,,3887000,12974000,3080117,38593000,,184321,0
39,104717,0,0,1,1,0,1,2,16424,757,16424,757,16424,757,17800,17800,5700,5700,1,0,48918,6615,20179,5679,74,21,5679,10,72,325902029,45,124838879,58,287650517,AZ,9,13355816,1,1,1,1,1,1,0,1,1,"1,676,203,892.00",1265463118,124506573,439695909,170026423,263747125,1183376966,172637,0
40,105330,1,0,0,1,1,1,2,10243,1138,10243,1138,16248,1138,11896,26642,4720,4720,1,0,37386,4589,7656,4772,76,22,4772,18,77,208655774,33,38295244,40,69243268,AZ,9,68849790,1,1,1,1,1,1,1,1,1,"1,191,325,261.00",926095490,44415022,78531430,41421340,171181,11586,155697434,634935000
41,105589,0,0,0,1,0,1,2,31944,1665,31944,1665,31944,1665,33669,33669,1923,1923,1,0,317,52,120,51,59,9,55,11,90,7096993,45,1033395,54,2525087,AZ,9,2440235,1,1,1,1,0,1,0,1,1,"28,971,986.00",13618117,2142618,3976695,1118621,4318953,18227209,0,0
42,105899,0,1,0,1,0,1,1,27500,1750,27500,1750,27500,1750,29250,29250,6000,6200,1,0,778,282,418,219,47,12,208,24,93,12714533,38,1628821,64,3857141,AZ,5,0,1,1,1,1,1,1,0,1,1,"56,555,251.00",32461808,2757526,7181767,1523935,10494088,21301937,0,0
43,106245,1,0,0,1,1,1,2,6495,3017,6495,3017,18750,3017,8366,18957,7793,5674,1,0,4363,494,1762,550,73,13,563,7,61,36041757,39,14661940,43,28458897,AR,9,28777015,1,1,1,1,1,1,0,1,1,"321,803,629.00",130272847,21769313,9028815,14530667,5797178,0,24068177,179011972
44,106342,0,1,0,1,0,1,1,28550,865,28550,865,28550,865,29415,29415,2000,2500,1,0,2062,183,229,173,69,11,173,26,98,18146617,42,1268296,64,2501273,AR,5,3182358,1,1,1,1,1,1,0,1,1,"123,601,138.00",37610844,2043510,7082902,1318344,16049889,26695592,1164250,0
45,106397,1,0,0,1,1,1,2,7568,1816,7568,1816,24056,1816,9384,25872,4362,4362,1,0,19777,4685,6204,4562,85,19,4564,20,70,108466490,19,18636365,36,53745695,AR,9,86656080,1,1,1,1,1,1,0,1,1,"2,285,358,596.00",1021426804,67439782,43133274,20388641,30883612,0,81823058,986736672
46,106412,1,0,0,1,1,1,1,5130,2934,5130,2934,11640,2934,8248,14908,4574,4574,1,0,5464,608,864,481,74,14,481,20,97,24079702,70,8424805,68,10726682,AR,9,4877541,1,1,1,1,1,1,0,1,1,"163,679,823.00",43919869,8618464,6177436,8544001,1703479,0,12033610,82444558
47,106458,1,0,0,1,1,1,2,5232,2083,5232,2083,10800,2083,7315,12883,5970,5111,1,0,5836,1235,2468,1333,79,14,1352,15,85,70897370,39,16054097,49,28856427,AR,9,29670713,1,1,1,1,1,1,0,1,1,"462,398,009.00",194588379,17091756,11051800,17339005,12329791,0,39365713,212527629
48,106467,1,0,0,1,1,1,1,5568,2100,5568,2100,11136,2100,7668,13236,4324,4324,1,0,7139,1674,2014,1668,67,17,1989,18,68,55444710,37,18505902,35,26227911,AR,9,20106525,1,1,1,1,1,1,0,1,1,"253,541,030.00",116151794,9554370,8413423,19546327,11739554,0,30100697,138569732
49,106546,0,1,0,0,0,2,3,9710,2040,9710,2040,9710,2040,11750,11750,8874,8874,1,0,8,3,272,4,75,10,7,1,84,1845073,65,1042172,80,2589554,AR,4,0,1,1,0,1,0,0,0,1,2,,,383999,310150,1406970,369365,,171618,0
50,106704,1,0,0,1,1,1,2,6810,2528,6810,2528,13620,2528,9338,16148,5584,5584,1,0,5642,1707,2201,1838,79,15,1838,20,84,63865704,38,16271839,46,33490970,AR,9,28693239,1,1,1,1,1,1,0,1,1,"379,390,193.00",284426688,15591552,9203570,16865707,15031620,0,33997261,205636676
51,106713,0,1,0,0,0,1,1,15600,1500,15600,1500,15600,1500,17100,17100,2572,2572,1,0,530,121,189,105,57,11,105,16,84,6249603,46,1383014,57,2661360,AR,5,1338970,1,1,1,1,0,1,0,1,1,"27,767,348.00",10850801,854134,884829,1475154,3953352,9678600,713327,0
52,107044,0,1,0,1,0,1,1,21000,540,21000,540,21000,540,21540,21540,3280,3280,0,0,2201,745,899,804,87,14,804,21,85,34381261,23,3905535,50,13379470,AR,9,15162022,1,1,1,1,1,1,0,1,1,"420,448,563.00",69731843,12441144,17547022,3957111,31249263,120769597,2951750,0
53,107071,1,0,0,0,1,1,1,5760,1632,5760,1632,7680,1632,7392,9312,7500,7500,1,0,3673,548,739,785,61,14,785,23,84,27017758,43,7037530,43,8912431,AR,8,9710830,1,1,1,1,0,1,0,1,1,"121,433,023.00",101579084,9421430,6311097,6749144,3183358,0,17809059,64596487
54,107080,0,1,0,1,0,1,1,49140,350,49140,350,49140,350,49490,49490,2900,3100,1,1,1775,311,323,284,82,10,284,26,99,44949086,30,1543058,51,3561923,AR,7,6344737,1,1,0,1,1,1,0,1,1,"329,302,619.00",120048858,4040318,9391724,1549401,30838058,49009653,0,0
55,107141,0,0,0,1,0,1,1,27048,1240,27048,1240,27048,1240,28288,28288,2850,2850,1,0,1422,312,744,318,86,14,318,18,76,25045417,27,2157927,42,4786985,AR,8,2453926,1,1,1,1,1,1,0,1,1,"239,506,733.00",12384105,6438591,9156448,2228136,19351886,48365104,1337750,0
56,107512,0,1,0,1,0,1,1,28480,640,28480,640,28480,640,29120,29120,4200,3550,1,0,2524,389,650,441,81,12,441,27,92,33020959,26,2062427,46,4459271,AR,7,6033299,1,1,1,1,0,1,0,1,1,"209,281,744.00",63634310,1836948,9738875,2044507,25468198,44976198,3199443,0
57,107558,0,1,0,1,0,1,2,24950,1000,24950,1000,24950,1000,25950,25950,2400,2400,1,0,1712,195,241,209,69,16,209,25,100,17833468,39,1643419,46,2172742,AR,5,2885584,1,1,1,1,1,1,0,1,1,"165,716,336.00",14979121,2230494,4439345,1629837,12862377,23774748,734829,0
58,107585,1,0,0,0,1,2,3,2208,1008,2448,1008,3120,1008,3456,4128,7874,5906,0,0,965,388,791,400,59,21,400,22,88,6769037,51,4254304,18,1568720,AR,3,2576278,1,1,0,1,1,1,0,1,2,"32,472,965.00",15210331,1594334,1283116,4282795,675136,0,3361777,18308949
59,107877,0,1,0,1,0,1,2,17100,1400,17100,1400,17100,1400,18500,18500,3730,3730,1,0,1228,220,291,198,53,16,198,38,98,6854353,53,1255697,77,1907596,AR,7,1416474,1,1,1,1,0,1,0,1,1,"40,956,485.00",3648787,731171,2661271,1256096,5128083,10191732,560500,0
60,107983,1,0,0,0,1,1,2,6420,2660,6420,2660,11460,2660,9080,14120,7725,6702,1,0,3426,768,1112,832,72,18,832,23,95,33155043,46,8005991,74,13612303,AR,7,7802671,1,1,1,1,1,1,0,1,1,"143,839,297.00",87143425,4704023,6404892,8216139,3841562,0,17297364,69685948
61,108852,0,0,0,0,0,1,3,36480,750,36480,750,36480,750,37230,37230,6890,6300,0,0,198,25,37,92,33,8,92,37,99,2279799,31,378420,54,864940,CA,3,0,1,1,0,1,0,1,0,1,2,"23,268,993.00",18147545,1434241,868882,420626,2532207,9032293,52108,0
62,109086,0,0,0,0,0,2,3,30235,221,30235,221,30235,221,30800,30800,5706,5706,0,0,0,,,0,,6,0,0,11,6195,11,6195,11,5500,CA,7,0,0,0,0,1,1,1,0,1,2,"94,802,979.00",45580128,1567613,261575,6195,494144,23789641,0,0
63,109651,0,0,0,1,0,2,3,45776,710,45776,710,45776,710,46486,46486,6492,6492,0,0,1008,233,369,267,78,8,267,13,76,24091974,29,2717252,47,7280564,CA,7,0,0,1,0,1,1,1,0,1,2,"332,038,000.00",137398000,20687000,8474000,3544000,27339000,110049000,2979000,0
64,109785,0,1,0,1,0,1,1,40830,580,40830,580,40830,580,41410,41410,4742,4264,1,0,4534,608,832,688,76,10,692,14,92,101952991,35,8175239,54,19973267,CA,9,8012893,1,1,1,1,1,1,0,1,1,"352,158,662.00",192172775,18638601,42997989,8883909,79328188,226156266,10137,0
65,110097,0,1,0,1,0,1,1,43512,0,43512,0,43512,0,43512,43512,3716,3716,1,0,4324,702,951,893,78,14,881,23,96,85682974,28,5307453,54,13663317,CA,9,0,1,1,1,1,1,1,0,1,1,"488,716,000.00",171335000,14026000,23523000,5716000,65845000,160717000,7243000,0
66,110361,0,1,0,1,0,1,1,33930,2290,33930,2290,33930,2290,36340,36340,4722,4242,1,0,6961,1332,2149,1491,76,19,1523,19,96,140401944,45,17790404,67,42285015,CA,9,23627116,1,1,1,1,1,1,0,1,1,"607,061,523.00",399397981,7234238,49728342,19503197,90854968,233076854,22733983,0
67,110370,0,0,0,1,0,1,2,50592,545,50592,545,50592,545,51137,51137,4160,4400,1,0,2625,191,316,248,71,8,248,17,73,25018849,22,1576745,30,3293184,CA,7,7136258,1,1,0,1,1,1,0,1,2,"183,437,000.00",47387000,8354000,8251000,1615358,28081062,80782000,768000,0
68,110404,0,0,0,1,0,1,2,54570,2292,54570,2292,54570,2292,56862,56862,4641,4164,0,1,8007,225,229,235,94,3,235,25,59,23797796,11,482283,4,202295,CA,9,2273198,0,0,0,1,1,1,0,1,1,"6,252,584,000.00",2975027000,49526627,25995377,482000,80206000,3376928449,154000,0
69,110413,0,1,0,1,0,1,1,45500,482,45500,482,45500,482,45982,45982,4735,4258,1,1,5568,514,763,647,79,14,647,21,95,89740511,36,4742555,53,4742555,CA,9,15664933,1,1,1,1,1,1,0,1,1,"382,881,187.00",112809266,7050302,22817403,5214059,64780480,120481813,8079609,0
70,110422,1,0,0,1,1,1,2,5742,4329,5742,4329,17622,8349,10071,25971,2190,2190,1,1,52371,4752,5841,4602,94,21,4602,22,53,76100151,17,16592674,26,32394729,CA,7,80478528,1,1,1,1,1,1,0,0,1,"1,168,128,061.00",2080162724,67029749,79705072,16990464,21346775,0,49903986,666781296
71,110468,0,0,1,0,0,2,3,15288,360,15288,360,15288,360,13680,13680,5268,5348,1,0,21,,,0,,6,0,0,9,496864,5,150497,17,926249,CA,9,8226520,1,1,1,1,1,1,0,1,2,"79,508,204.00",81691359,13954759,15722064,157319,2312119,74477060,50917,0
72,110486,1,0,0,1,1,1,2,5742,1757,5742,1757,17622,1757,7498,19378,4364,3976,1,1,12235,1387,2777,1545,83,23,1545,15,80,76036472,62,30404359,31,19281507,CA,9,29380176,1,1,1,1,1,1,0,1,1,"247,233,145.00",547025091,21430149,24680157,32614984,26581609,0,49878925,209620159
73,110495,1,0,0,1,1,1,2,5742,1860,5742,1860,17622,1860,7584,19464,3786,3600,1,1,7136,1166,2700,1505,87,22,1505,15,82,72851370,60,27884528,30,17793937,CA,9,29922216,1,1,1,1,1,1,0,1,1,"313,929,729.00",612200246,18039797,23786824,29901296,26730544,171312,54475032,196695065
74,110510,1,0,0,1,1,1,2,5742,1256,5742,1256,17622,1256,6952,18832,3962,3310,1,1,14435,2199,5396,2846,85,27,2846,16,80,141498079,61,54616447,27,30830360,CA,9,40222704,1,1,1,1,1,1,0,1,1,"677,938,366.00",1196569673,29144670,35031902,56692397,45301595,0,95068739,377159897
75,110529,1,0,0,1,1,1,2,5742,1697,5742,1697,17622,1697,7438,19318,3781,4074,1,1,38026,4189,8588,3643,87,29,3643,14,69,152596350,49,63689792,30,51701939,CA,9,64061928,1,1,1,1,1,1,0,1,1,"1,022,354,531.00",1541993528,49673121,43389845,66982400,52950628,0,105748698,515730906
76,110538,1,0,0,1,1,1,1,5742,2122,5742,2122,17622,2122,7864,19744,2598,3352,1,1,19999,2238,3864,2539,83,25,2539,16,64,91470434,44,34171019,41,38032259,CA,7,40056660,1,1,1,1,1,1,0,1,1,"538,154,510.00",1128523554,34826832,36446588,36449691,30791790,0,64445968,371839958
77,110547,1,0,0,1,1,1,3,5742,1204,5742,1204,17622,1204,6941,18821,5740,4370,1,1,19399,2062,5626,2414,78,27,2414,16,82,109975781,65,47052684,27,27964997,CA,8,33695064,1,1,1,1,1,1,0,1,1,"418,572,801.00",738508183,32910007,28750462,47836730,33129446,0,72149042,276693634
78,110556,1,0,0,1,1,1,2,5742,901,5742,901,17622,901,6643,18523,4098,3807,1,1,15448,3478,6838,3279,87,23,3279,15,78,163799720,58,61438256,24,32243297,CA,9,65814660,1,1,1,1,1,1,0,1,1,"375,756,630.00",1250906358,40239687,60708559,65995248,56770928,0,112152620,535698626
79,110635,,,,1,1,1,2,11442,2870,11442,2870,41196,2870,14312,44066,5874,14084,1,0,88062,6072,8614,6422,96,19,6422,20,59,359981552,26,39019554,20,35979357,CA,9,292628229,0,1,1,1,1,1,0,1,1,,,197949021,275649828,45779605,8988964,51536,214988712,
80,110644,,,,1,1,1,2,11442,3155,11442,3155,41196,3155,14597,44351,5073,13260,1,1,76897,6000,9241,5896,93,20,5896,19,69,370926954,36,54021168,29,46477779,CA,9,179591708,1,1,1,1,1,1,0,1,1,,,333665427,169890003,59058636,22168003,6668,160418554,
81,110653,,,,1,1,1,2,11442,2311,11442,2311,41196,2311,13753,43507,5116,12466,1,1,97938,5742,8510,6053,94,18,6053,20,69,385001081,39,58604617,28,46780975,CA,9,204352638,0,1,1,1,1,1,0,1,1,,,309939815,87849931,63672288,0,0,164759542,
82,110662,,,,1,1,1,1,11442,1807,11442,1807,41196,1807,13249,43003,5284,13154,1,1,108870,6378,10173,5908,96,18,5908,19,72,368500811,31,47807328,27,48377131,CA,9,330186434,1,1,0,1,1,1,0,1,1,,,997040191,210232922,54061811,6923932,448986,231788389,
83,110671,,,,1,1,1,2,11442,2417,11442,2417,41196,2417,14024,43778,3147,10552,1,1,49442,4818,7007,4743,91,22,4743,22,91,325838102,51,56344683,43,53490792,CA,9,118159654,1,1,1,1,1,1,0,1,1,,,67946320,101820190,61549719,3327460,45075,109743558,
84,110680,,,,1,1,1,2,11442,3206,11442,3206,41196,3206,14648,44402,4900,12624,1,1,100062,6423,9794,6011,94,19,6011,20,59,343108134,35,54117537,31,54226637,CA,9,203135626,0,1,1,1,1,1,0,1,1,,,832056640,152053868,59224959,18414,0,155697285,
85,110705,,,,1,1,1,1,11442,2964,11442,2964,41196,2964,14406,44160,5916,13986,1,1,90961,4813,7330,4928,91,18,4928,21,63,273109718,33,38170192,28,35505700,CA,9,166785724,1,1,1,1,1,1,0,0,1,,,90099896,113524697,43841028,16433130,0,78791354,
86,110714,,,,1,1,1,2,11442,2583,11442,2583,41196,2583,14025,43779,5602,13467,1,1,54988,4158,5853,3700,85,25,3700,21,69,206494380,32,26480677,35,35204384,CA,9,92829272,1,1,1,1,1,1,0,1,1,,,55924716,108684678,29297691,17180001,0,76806892,
87,110565,1,0,0,1,1,1,2,5742,1212,5742,1212,17622,1212,6953,18833,4864,4170,1,1,45449,5109,10393,4692,89,27,4692,13,68,206807429,48,80571378,25,55343242,CA,9,89687376,1,1,1,1,1,1,0,1,1,"804,184,916.00",1875416854,46894200,52758717,84797205,70274370,0,139027929,694757484
