UNITID,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT
105297,141,10,80,3367443,57,2047567,0,0
105330,4772,18,77,208655774,33,38295244,40,69243268
105349,40,1,86,4305323,18,2051291,0,0
105367,0,0,53,1226650,50,1016929,68,2819664
105428,657,6,41,19483613,36,15284759,10,4459671
105525,1380,7,43,34399257,35,27281294,11,8394816
105534,533,16,65,10668236,57,8650874,64,19621236
105543,311,27,72,5030756,64,3342540,62,6183367
105589,55,11,90,7096993,45,1033395,54,2525087
105659,850,55,82,6891381,68,4368941,72,7069925
105668,88,0,11,6852327,10,6174812,7,5059950
105677,16,35,20,31231,20,31231,37,111911
105747,411,5,18,6039217,15,4617895,8,2573755
