UNITID,ADMCON1,ADMCON4,APPLCN
145239,1,3,76
145336,1,1,1459
145354,2,2,9
145372,1,5,1993
145497,1,2,12
145600,1,1,22798
145619,1,5,3017
145637,3,1,43473
145646,2,2,3896
145691,1,2,3781
145725,2,2,5033
145813,1,2,15487
146339,1,2,970
146427,2,1,3104
146481,1,1,4482
146612,1,1,6458
146676,1,3,1403
146719,1,2,25453
146755,3,1,0
147013,1,2,1965
147129,1,3,8
147244,1,2,3071
147341,1,2,2663
147369,1,2,361
147536,1,3,3983
147660,1,1,6919
147679,1,2,4782
147703,1,1,16690
147767,1,1,39263
147776,5,3,4885
147828,1,2,4711
148016,1,5,74
148131,1,2,1223
148405,1,2,2021
148487,1,1,5379
148496,1,1,4342
148584,1,1,1917
148627,1,3,8306
148654,1,1,3634
149028,1,3,3
149222,1,1,6165
149231,1,2,8773
149310,3,3,75
149329,3,1,22
149505,1,1,1208
149514,1,1,277
149639,1,5,21
149772,1,2,7603
149781,1,1,1801
150066,1,3,3905
150136,1,1,20167
150145,1,2,1235
150163,1,1,14592
150400,1,2,5481
150455,1,1,2198
150534,1,2,4709
150604,1,2,2073
150668,1,3,984
150677,1,3,3984
150756,1,2,2565
150774,5,2,644
150941,1,2,1075
151102,1,1,5540
151111,2,1,16220
151263,1,1,7893
151290,1,5,3396
151306,2,2,4158
151324,1,1,13477
151333,2,1,2319
151342,2,1,2712
151351,2,1,44129
151360,2,1,2506
151379,2,1,2549
151388,2,1,1980
151467,1,3,490
151777,1,2,4001
151786,1,2,2816
151801,1,2,2942
152080,2,2,21253
152099,1,2,913
152318,2,1,4376
152336,1,2,1676
152381,1,3,657
152390,1,2,2412
152497,5,2,24
152530,1,1,2177
152567,1,2,3841
152600,2,2,5991
152673,1,1,1522
152798,3,3,0
153001,1,2,1787
153108,1,1,2340
153126,1,2,1102
153144,1,2,7041
153162,1,2,2615
153241,1,3,1
153250,1,1,1495
153269,1,2,6624
153278,1,2,1844
153302,1,3,114
153320,1,2,250
153366,1,3,2521
153375,1,2,1810
153384,2,2,8137
153603,1,1,20223
153621,1,2,4169
153658,1,1,24132
153825,1,2,2482
153834,1,2,3640
153861,1,3,50
153977,1,3,120
154004,1,2,3388
154013,1,2,1160
154095,1,1,5085
154101,2,2,1136
154235,1,2,4607
154262,1,3,27
154350,1,1,1300
154493,1,3,1098
154518,1,2,1040
154527,1,1,4795
154590,1,2,1599
154688,1,2,819
154712,1,2,2488
154721,1,2,1689
154749,1,2,1034
155025,1,2,1544
155061,2,1,1920
155070,1,3,198
155089,1,2,1154
155140,1,2,275
155283,3,3,222
155317,1,2,15042
155335,1,3,597
155399,1,2,9208
155414,1,2,1293
155423,3,3,544
155496,1,3,143
155511,1,2,1785
155520,5,2,1043
155627,1,2,1845
155681,1,2,2007
155812,1,2,1375
155900,1,3,1410
155937,1,2,1898
155973,1,3,1052
156125,1,2,7655
156189,1,2,4024
156213,1,5,1324
156286,1,1,4191
156295,1,2,1857
156356,1,3,2490
156365,1,2,5130
156408,1,1,2163
156541,1,2,2414
156620,1,1,9206
156745,1,2,2712
157030,1,2,66
157058,1,5,3377
157076,1,3,1771
157085,1,1,19648
157100,1,3,1559
157289,1,1,17265
157377,1,2,1043
157386,1,2,8684
157401,1,1,9552
157447,1,1,6686
157748,1,3,343
157757,1,2,700
157809,1,1,2646
157818,1,2,1663
157863,1,2,1249
157951,1,1,8574
158477,1,2,862
158802,1,3,5783
159009,1,1,8153
159382,1,1,2946
159391,1,2,28960
159416,1,1,918
159568,1,2,808
159647,1,1,7087
159656,1,2,6259
159717,1,1,3496
159939,1,3,5382
159966,1,1,3189
159993,1,1,4837
160038,1,1,4290
160065,1,3,1335
160074,1,2,463
160612,1,1,6036
160621,1,1,6935
160630,1,1,2261
160658,1,1,9870
160755,1,2,43892
160904,1,2,9517
160959,2,2,405
160977,2,2,7696
161004,2,1,9402
161022,2,2,20
161086,5,2,13922
161226,2,1,1595
161235,1,2,599
161253,2,1,14785
161299,1,1,1147
161341,1,2,700
161457,1,3,4843
161509,1,2,797
161518,1,2,1274
161554,3,2,4774
161572,1,2,885
161873,1,2,274
162007,1,2,5168
162061,1,2,275
162210,1,3,2017
162283,1,3,5873
162584,1,2,4335
162654,1,2,2598
162760,5,1,3425
162928,1,2,30115
163046,1,2,10489
163268,1,1,11459
163286,1,2,32147
163295,1,2,2990
163338,1,2,8511
163453,1,2,9623
163462,1,1,6543
163532,2,3,77
163578,1,1,1554
163851,1,2,8701
163912,1,2,2604
163976,2,2,777
164076,1,5,12295
164155,1,2,15699
164173,1,3,4177
164216,1,1,2901
164270,1,1,4207
164368,1,3,1887
164447,1,2,1956
164465,5,2,10603
164492,1,2,2742
164535,3,3,21
164562,1,3,4968
164580,1,1,6501
164614,2,2,18
164632,1,2,1148
164641,1,5,249
164720,1,5,2759
164739,2,1,8298
164748,1,3,7860
164924,1,1,29382
164988,1,1,61007
165015,2,1,10223
165024,1,1,9555
165060,1,3,11
165264,1,2,47
165334,1,1,7153
165529,1,1,5733
165574,1,1,5919
165608,3,2,68
165644,1,2,1005
165662,2,1,13326
165671,1,1,5450
165699,2,3,5355
165802,1,2,2612
165820,1,1,2998
165866,1,1,5695
165936,1,1,2884
166018,2,2,1202
166027,2,3,40248
166054,1,2,98
166124,2,2,7087
166391,1,2,2496
166452,1,1,2879
166489,1,2,70
166513,1,1,12970
166629,1,1,40315
166638,1,1,14029
166656,1,1,4808
166674,1,1,2677
166683,2,2,20075
166692,1,1,785
166850,1,1,10934
166939,2,1,3480
167057,1,3,1147
167260,1,2,2507
167288,1,1,1355
167358,1,2,64459
167394,1,2,1479
167455,1,2,352
167598,1,1,2851
167729,1,1,6557
167783,1,1,2905
167792,2,5,215
167835,2,1,5249
167871,5,3,125
167899,1,1,3441
167987,1,1,8738
167996,1,1,7117
168005,2,1,7686
168148,1,1,23127
168218,2,2,6581
168227,1,2,5601
168254,1,1,6235
168263,1,1,4049
168281,5,1,3580
168342,5,2,8744
168421,5,1,11269
168430,1,1,4044
168528,1,3,4439
168546,1,2,4699
168591,1,3,2732
168740,1,1,1429
168786,1,1,1853
168847,1,1,1531
169080,1,1,3199
169248,1,1,19396
169327,1,2,803
169363,1,2,1816
169442,1,3,1739
169479,1,2,3036
169576,3,3,11
169655,5,5,589
169716,1,2,3985
169798,1,2,15957
169910,1,2,8581
169983,1,2,1975
170000,5,3,364
170037,1,2,1964
170082,1,1,15465
170286,1,2,1993
170301,1,1,3907
170532,1,1,3456
170639,1,2,1767
170675,1,2,2588
170806,1,2,1132
170967,1,2,530
170976,1,1,65021
171100,1,1,45426
171128,1,2,7476
171137,1,3,7300
171146,1,2,4017
171456,1,2,6233
171492,1,2,1056
171571,1,1,12054
171599,1,5,2134
171881,1,2,128
172033,1,3,2
172051,1,2,6881
172264,1,1,1263
172334,1,2,1504
172440,1,2,1259
172644,1,2,17093
172699,1,2,16582
173045,1,2,2746
173124,1,3,3043
173142,1,2,665
173160,1,3,1646
173258,2,2,6892
173300,1,2,4024
173328,1,2,2554
173452,1,1,260
173647,1,2,4737
173665,1,2,4441
173902,2,2,6373
173920,1,1,10411
173957,5,3,131
174020,1,3,887
174066,5,1,38237
174075,1,2,1616
174127,1,2,695
174154,2,3,126
174233,1,1,9190
174251,1,1,4190
174358,1,1,3688
174437,1,3,613
174491,1,2,1080
174525,1,3,126
174747,1,1,1845
174783,1,2,5251
174792,1,1,1595
174817,1,2,1459
174844,1,1,5231
174862,1,2,949
174899,1,3,1922
174914,1,2,7128
175005,1,1,1677
175078,2,2,1856
175227,1,2,381
175272,1,1,6804
175342,1,3,6846
175421,1,3,2380
175430,1,3,227
175616,1,1,517
175856,1,1,9551
175980,1,2,2796
176017,1,1,16383
176035,1,1,516
176044,1,1,3351
176053,2,2,2559
176080,1,1,16127
176318,1,5,2158
176336,1,3,41
176372,1,2,9683
176406,1,2,1844
176479,1,2,758
176628,1,2,1963
176770,1,3,6
176947,1,2,1310
176965,1,2,5666
176983,2,3,59
177038,2,3,22
177083,1,2,3
177117,1,1,555
177144,1,5,1618
177214,1,2,1603
177339,1,3,896
177418,1,1,717
177542,1,3,492
177746,1,2,1005
177931,3,3,10
177968,1,5,2695
177986,5,5,26
178004,5,3,0
178059,1,2,2503
178183,5,3,141
178208,1,3,233
178244,1,2,765
178341,1,2,2034
178369,1,2,2898
178396,2,1,20641
178402,1,2,5672
178411,1,1,5528
178420,1,1,3511
178615,1,2,3839
178624,1,1,8143
178679,1,5,274
178697,1,2,2437
179043,1,2,3629
179052,3,3,37
179159,1,2,16580
179256,1,5,37
179265,1,2,349
179326,1,2,1542
179548,1,5,644
179557,1,2,4871
179566,1,2,9591
179867,2,2,27949
179894,1,2,2901
179946,1,2,933
179955,1,1,1585
179964,1,3,1463
180106,1,2,1449
180258,1,3,272
180416,1,1,916
180461,1,3,18892
180489,1,1,5380
180595,1,2,1370
180692,1,2,860
180717,1,5,8
180832,1,1,102
180878,1,3,206
180984,1,2,2118
181002,1,1,8682
181020,1,2,1955
181127,1,2,2126
181215,1,1,5359
181297,1,2,86
181330,1,2,1967
181394,2,1,8864
181446,1,2,2435
181464,1,5,17495
181543,2,3,14
181604,2,3,460
181738,1,2,1292
181853,1,5,555
182281,1,3,13256
182290,1,1,9644
182458,1,2,814
182634,1,2,1888
182670,1,2,21392
182795,1,2,4517
182917,1,1,81
182980,2,2,6909
183026,1,1,37143
183044,1,1,18797
183062,1,2,5343
183071,1,1,265
183080,1,1,7129
183211,1,1,1540
183239,1,1,3942
183248,1,3,0
183275,1,1,48
183822,1,2,4195
183910,1,2,4141
183974,1,2,1342
184348,1,2,3989
184603,1,1,4042
184612,1,1,2838
184694,1,1,4759
184773,1,1,1843
184782,1,2,14763
184968,3,3,8
185129,1,2,6545
185174,2,3,67
185262,1,1,10138
185572,1,2,8367
185590,1,1,11888
185679,3,3,7
185828,1,1,10299
186131,2,2,32835
186186,3,1,79
186201,1,1,7980
186283,1,1,9250
186371,1,1,9879
186380,1,1,41263
186399,1,1,13506
186432,1,2,4154
186584,1,1,20830
186618,1,1,1515
186867,1,1,10346
186876,1,2,7262
186900,2,2,9
187134,2,2,13199
187444,1,1,10402
187648,1,2,2409
187745,1,3,81
187912,1,2,627
187967,1,2,1754
187985,1,1,10436
188030,1,2,13715
188429,1,2,15329
188526,1,2,1693
188641,1,2,4252
188669,3,3,0
188678,1,3,356
188696,3,3,3927
188854,1,5,5130
188915,1,3,4
188942,3,1,108
189088,2,2,4969
189097,3,1,9411
189273,3,2,36
189705,1,1,3453
189848,1,2,2243
189857,3,1,105
190008,3,5,66
190044,1,2,6198
190099,1,2,8583
190114,2,2,146
190150,2,1,40462
190248,1,2,786
190372,1,2,2358
190415,5,5,51500
190451,1,3,32
190503,1,2,1777
190512,1,1,24307
190549,1,1,29464
190567,1,1,29894
190594,1,1,32294
190600,1,1,21021
190637,1,1,20057
190646,1,2,12703
190655,1,3,21525
190664,1,1,25621
190691,1,1,15522
190707,3,3,12
190716,1,1,1772
190725,1,1,2902
190752,3,1,17
190761,1,3,2309
190956,5,5,5
190983,1,1,1695
191126,1,2,4354
191205,1,2,717
191241,1,1,47936
191515,5,2,7443
191533,1,5,3609
191621,1,3,1086
191630,5,1,3931
191649,1,1,24062
191676,1,2,1004
191931,1,2,10319
191940,5,3,726
191968,1,1,12906
192004,2,3,140
192040,5,1,108
192110,3,3,2434
192192,1,5,2025
192271,1,2,1354
192323,1,2,7248
192448,1,2,14341
192509,3,3,509
192624,3,1,38
192703,1,2,8429
192712,1,3,1268
192749,1,2,3200
192785,1,3,338
192800,5,3,1
192819,1,1,11715
192864,1,2,5270
192925,5,2,1330
192961,2,3,1
193016,1,2,7246
193052,3,3,40
193061,3,1,10
193070,3,3,19
193122,3,3,0
193247,3,2,58
193292,1,1,5043
193308,1,2,4083
193353,1,2,2178
193380,1,5,140
193399,1,5,2963
193584,1,1,3833
193609,2,3,9
193654,2,2,8701
193900,1,3,80210
193973,1,2,3740
194091,1,2,11007
194116,1,5,171
194161,1,2,261
194189,3,1,1
194310,1,1,24902
194392,1,2,1283
194499,3,3,1533
194569,1,3,7
194578,1,2,7601
194657,3,1,49
194693,3,1,18
194718,3,1,20
194736,3,3,50
194763,3,3,116
194824,1,1,16661
194958,1,5,1538
195003,1,1,21928
195030,5,1,19607
195128,1,1,1740
195164,1,2,3014
195173,1,5,5492
195191,1,3,11
195216,1,1,5952
195234,1,1,6373
195243,1,2,1793
195289,2,3,1
195304,1,2,3674
195438,3,3,1
195474,2,2,8326
195526,2,1,10433
195544,1,1,4654
195702,1,3,3
195720,1,2,4409
195809,1,5,27917
196006,1,3,5982
196015,1,2,2961
196024,1,1,4530
196033,1,2,2640
196042,1,2,7156
196051,1,3,4528
196060,1,1,26127
196079,1,5,38116
196088,1,2,30247
196097,1,1,37083
196103,1,1,1951
196112,1,1,3053
196121,1,2,9203
196130,1,1,13313
196149,5,2,12392
196158,1,1,5754
196167,1,2,10250
196176,1,1,8843
196185,1,1,12004
196194,1,1,12277
196200,1,2,4450
196219,1,3,4594
196237,1,2,5780
196246,1,1,9009
196291,1,2,1455
196413,2,2,32005
196431,3,1,56
196440,3,1,2
196583,3,1,7
196592,2,3,1778
196653,1,3,476
196866,1,2,7622
197027,2,2,1763
197036,2,2,14969
197045,1,2,3119
197133,2,1,8663
197142,1,3,414
197151,1,2,4314
197197,1,1,2604
197221,1,2,157
197230,2,1,1998
197285,2,2,722
197647,3,1,55
197692,2,2,46
197708,1,3,1442
197735,3,1,182
197744,3,1,12
197869,1,1,18178
197911,1,2,3890
197984,1,2,2292
197993,1,5,2021
198066,1,2,3044
198109,1,2,65
198136,1,2,5025
198215,1,2,3254
198303,1,2,2549
198385,1,1,5621
198419,2,1,39639
198464,1,2,20313
198507,1,2,2578
198516,1,2,15306
198543,1,5,4611
198561,1,2,5370
198598,1,2,1014
198613,5,2,3660
198695,1,1,11266
198756,1,3,7160
198808,1,1,1430
198835,1,5,6194
198862,1,2,5395
198871,1,1,952
198899,1,2,1718
198950,1,1,1674
198969,1,2,2964
199032,1,3,861
199069,1,2,2237
199102,1,1,16366
199111,1,1,3115
199120,1,1,41773
199139,1,1,19949
199148,1,1,9870
199157,1,2,7496
199184,1,2,1197
199193,2,1,31487
199209,1,3,3358
199218,1,2,13633
199272,1,1,1277
199281,1,1,5021
199306,1,2,1796
199412,1,1,3437
199458,1,3,218
199582,1,2,5887
199607,1,2,872
199643,1,2,6437
199698,1,2,2343
199759,1,3,222
199847,1,2,11959
199865,1,5,1273
199962,1,2,16841
199999,1,1,5182
200004,1,1,15036
200059,1,1,506
200156,1,1,1356
200217,1,2,1391
200226,1,5,330
200253,1,1,750
200280,1,1,5662
200332,1,1,7880
200484,1,3,45
200572,1,1,464
200785,2,3,119
200800,1,1,14553
200846,1,1,585
201061,1,3,1308
201104,1,2,3552
201177,1,3,121
201195,1,1,3864
201371,1,2,1504
201441,1,1,17341
201539,2,3,13
201548,1,2,4017
201645,1,1,29084
201654,1,2,5008
201690,1,2,10191
201821,1,3,367
201885,1,1,23960
202046,1,3,975
202073,2,2,562
202134,1,1,7815
202170,1,3,674
202480,1,5,16606
202514,1,2,3021
202523,1,1,9079
202763,1,2,3386
202903,1,3,86
202912,1,3,260
202985,3,3,7
203030,3,3,9
203085,1,2,1874
203128,1,2,1535
203368,1,2,3610
203386,3,2,237
203517,1,2,18085
203535,1,1,6614
203544,1,2,554
203580,1,2,1165
203757,1,2,992
203775,1,1,1306
203845,1,1,2438
203960,1,1,324
204024,1,1,26844
204176,1,1,146
204185,1,5,3422
204194,1,5,1341
204200,1,1,1300
204264,1,1,2237
204468,1,2,2076
204501,1,1,9309
204617,1,2,2190
204635,1,1,4221
204796,1,1,49087
204857,1,1,22518
204893,5,2,7
204909,1,1,3962
204936,2,2,2849
205027,1,3,4
205054,2,2,159
205124,3,3,22
205391,1,3,294
205957,1,1,2074
206048,1,2,4738
206084,1,2,9673
206349,1,5,583
206394,5,3,17
206437,1,5,2112
206491,1,2,2688
206507,1,2,1558
206525,1,2,2807
206589,1,1,5582
206604,1,2,5226
206613,1,2,511
206622,1,2,14805
206695,1,2,8636
206817,1,3,349
206835,1,2,2376
206941,1,2,4732
207041,1,3,874
207157,1,2,152
207263,1,1,1584
207306,1,3,1012
207324,1,2,2186
207388,1,2,17164
207403,1,2,3269
207458,1,2,1714
207500,1,2,15451
207582,1,2,3956
207722,1,2,1021
207847,1,2,1009
207865,1,1,2132
207971,1,2,5815
208479,3,3,294
208512,3,3,16
208646,1,5,644
208725,1,3,19
208822,1,2,2685
209056,5,5,5620
209065,1,2,2250
209241,3,3,4
209287,1,2,219
209409,1,2,415
209506,1,1,4231
209542,1,1,17374
209551,1,1,28525
209603,1,3,621
209612,1,2,2458
209807,1,1,6701
209825,1,1,12562
209922,1,1,5647
210146,1,1,2320
210304,1,3,408
210331,1,3,1924
210401,1,1,4010
210429,1,5,3566
210492,1,1,350
210571,1,2,5369
210669,1,1,4380
210739,1,1,3192
210775,1,2,3683
211024,1,2,265
211088,2,1,8884
211158,2,1,7292
211273,1,2,3311
211291,1,1,9890
211352,1,1,2700
211361,1,3,3805
211431,1,2,650
211440,1,1,26189
211468,1,1,1851
211477,1,3,274
211556,1,1,2505
211583,1,5,2318
211635,1,3,11
211644,1,2,2685
211802,1,2,67
211893,3,3,574
211981,1,1,2091
212009,1,2,5375
212054,1,2,31237
212106,1,1,8335
212115,1,1,4685
212133,1,2,2095
212160,1,2,3273
212197,1,2,1696
212577,1,1,9062
212601,1,1,4442
212656,1,1,1642
212674,1,1,6468
212805,1,2,1624
212832,1,1,1019
212911,5,2,4530
212984,1,2,1314
212993,1,3,100
213011,1,2,1958
213020,1,2,9034
213163,3,3,16
213233,1,2,340
213251,1,1,2757
213303,1,3,1698
213321,1,1,3160
213349,1,2,6830
213358,1,2,1846
213367,1,1,6151
213385,1,1,8215
213400,1,3,301
213507,1,1,2500
213543,2,2,12389
213598,1,3,3871
213613,1,2,2413
213622,3,3,13
213668,1,1,2917
213774,1,2,862
213783,1,2,2136
213826,1,2,2231
213987,1,5,3457
213996,1,2,2549
214041,1,2,6381
214069,1,5,1897
214148,1,2,1199
214157,2,2,2337
214166,1,1,1428
214175,1,1,4543
214272,1,2,3341
214290,3,3,293
214476,1,3,60
214528,3,3,106
214892,3,3,107
214971,1,3,172
215053,1,2,378
215062,1,2,42205
215105,1,2,1588
215114,1,2,539
215132,1,1,3129
215266,1,2,3835
215275,1,2,2154
215284,1,2,2750
215293,2,1,32549
215309,2,2,4
215442,1,2,5411
215594,1,2,112
215637,1,3,404
215655,1,2,4469
215682,5,5,208
215691,1,2,1042
215743,1,2,1904
215770,1,2,7632
215798,1,1,2310
215929,1,2,9291
215947,2,2,2583
215974,3,3,27
215992,3,3,70
216010,1,1,6760
216038,1,2,5461
216047,5,3,5
216083,2,3,209
216278,1,1,5497
216287,5,2,11630
216296,1,2,1444
216311,2,3,46
216339,1,1,33805
216357,1,2,1680
216366,1,1,4469
216524,1,1,3834
216542,1,5,522
216597,1,1,22083
216667,1,2,2496
216694,1,1,1584
216764,2,1,14234
216773,1,3,29
216782,3,3,156
216807,1,1,2746
216852,1,2,5739
216931,1,2,3633
216940,5,3,364
217013,1,2,808
217040,3,1,12
217059,1,2,5798
217156,2,1,36793
217165,1,1,7521
217235,1,2,10145
217305,5,3,2090
217402,1,1,10817
217420,2,1,4709
217484,1,1,23856
217493,1,2,4001
217518,1,1,8775
217536,1,1,4972
217624,1,5,3490
217633,1,2,3804
217688,1,5,4953
217721,1,2,8114
217776,1,2,922
217819,1,1,15214
217864,1,1,2524
217873,1,2,9261
217882,1,1,28600
217907,1,2,965
217925,1,2,448
217934,1,3,786
217961,1,2,1720
217998,1,1,1020
218061,1,1,4266
218070,1,5,5194
218229,1,1,5627
218238,1,3,2179
218414,1,2,2163
218441,1,3,1999
218539,1,2,2016
218645,1,1,3055
218654,1,1,2096
218663,1,1,34957
218672,1,1,852
218681,1,1,911
218690,1,1,846
218706,1,1,352
218724,1,2,14152
218733,1,5,3128
218742,2,1,4385
218821,1,5,1809
218964,1,1,6705
218973,1,2,4102
219000,1,2,2037
219046,1,1,1119
219082,1,3,712
219091,1,3,1218
219198,1,3,737
219240,1,3,22
219259,1,1,1038
219295,1,3,383
219347,5,2,1329
219356,1,1,5290
219383,1,2,1648
219471,5,1,3392
219602,1,3,7346
219639,1,5,456
219709,1,1,8926
219718,1,2,1717
219806,1,1,3022
219833,1,2,4325
219903,3,3,526
219949,1,2,2872
219976,1,2,3621
220075,1,1,8686
220181,1,2,6345
220215,1,3,1405
220464,5,5,17
220473,1,2,573
220516,1,2,781
220604,1,2,221
220613,1,2,2236
220631,1,2,1630
220701,1,3,664
220710,1,1,2320
220862,1,5,13298
220978,1,1,9096
221351,1,1,5074
221519,1,1,4191
221661,1,5,2281
221731,1,2,1039
221740,1,2,7938
221759,1,2,25423
221768,1,1,9001
221847,1,1,6781
221892,1,2,1461
221953,1,2,2463
221971,1,1,2503
221999,1,1,36646
222178,2,2,10534
222831,1,3,3750
222983,1,2,4288
223117,3,3,9
223232,1,2,33680
223472,2,3,68
224004,1,3,1405
224147,1,5,8540
224226,1,2,4704
224244,1,2,474
224323,1,1,4645
224527,1,3,1248
224545,1,2,2458
224554,1,1,8577
225201,5,3,548
