,UNITID,TYPE,FORPROFIT,BOARD,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,OFFCAMPUS_SELF_EXP,OFFCAMPUS_FAMILY_EXP,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,FULLTIME_RETENTIONRATE_SPRING,STUD_TO_FAL_RATIO,PRCNT_FIRSTYR_UG,PRCNT_UG_AWARDEDAID,PRCNT_UG_AWARDED_PELL,TOTAL_AMOUNT_PELL_TOUG,PRCENT_FLOANS_TOUG,STATE,HLOFFER,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
35,106412,1,0,1,5130,2934,4574,4574,0,5464,74,14,20,97,70,8424805,68,SOUTH,Highest_Doc,1,0,163679823,8618464,6177436,1703479,0
36,106458,1,0,0,5232,2083,5970,5111,0,5836,79,14,15,85,39,16054097,49,SOUTH,Highest_Doc,1,0,462398009,17091756,11051800,12329791,0
37,106467,1,0,1,5568,2100,4324,4324,0,7139,67,17,18,68,37,18505902,35,SOUTH,Highest_Doc,1,0,253541030,9554370,8413423,11739554,0
38,106704,1,0,0,6810,2528,5584,5584,0,5642,79,15,20,84,38,16271839,46,SOUTH,Highest_Doc,1,0,379390193,15591552,9203570,15031620,0
39,106713,0,1,1,15600,1500,2572,2572,0,530,57,11,16,84,46,1383014,57,SOUTH,Highest_Bachelor,1,0,27767348,854134,884829,3953352,9678600
40,107044,0,1,1,21000,540,3280,3280,0,2201,87,14,21,85,23,3905535,50,SOUTH,Highest_Doc,1,0,420448563,12441144,17547022,31249263,120769597
41,107071,1,0,1,5760,1632,7500,7500,0,3673,61,14,23,84,43,7037530,43,SOUTH,Highest_PostMasters,1,0,121433023,9421430,6311097,3183358,0
42,107080,0,1,1,49140,350,2900,3100,1,1775,82,10,26,99,30,1543058,51,SOUTH,Highest_Masters,0,0,329302619,4040318,9391724,30838058,49009653
43,107141,0,0,1,27048,1240,2850,2850,0,1422,86,14,18,76,27,2157927,42,SOUTH,Highest_PostMasters,1,0,239506733,6438591,9156448,19351886,48365104
44,107512,0,1,1,28480,640,4200,3550,0,2524,81,12,27,92,26,2062427,46,SOUTH,Highest_Masters,1,0,209281744,1836948,9738875,25468198,44976198
45,107558,0,1,0,24950,1000,2400,2400,0,1712,69,16,25,100,39,1643419,46,SOUTH,Highest_Bachelor,1,0,165716336,2230494,4439345,12862377,23774748
46,107877,0,1,0,17100,1400,3730,3730,0,1228,53,16,38,98,53,1255697,77,SOUTH,Highest_Masters,1,0,40956485,731171,2661271,5128083,10191732
47,107983,1,0,0,6420,2660,7725,6702,0,3426,72,18,23,95,46,8005991,74,SOUTH,Highest_Masters,1,0,143839297,4704023,6404892,3841562,0
48,109785,0,1,1,40830,580,4742,4264,0,4534,76,10,14,92,35,8175239,54,WEST,Highest_Doc,1,0,352158662,18638601,42997989,79328188,226156266
49,110361,0,1,1,33930,2290,4722,4242,0,6961,76,19,19,96,45,17790404,67,WEST,Highest_Doc,1,0,607061523,7234238,49728342,90854968,233076854
50,110370,0,0,0,50592,545,4160,4400,0,2625,71,8,17,73,22,1576745,30,WEST,Highest_Masters,0,0,183437000,8354000,8251000,28081062,80782000
51,110404,0,0,0,54570,2292,4641,4164,1,8007,94,3,25,59,11,482283,4,WEST,Highest_Doc,0,0,6252584000,49526627,25995377,80206000,3376928449
52,110413,0,1,1,45500,482,4735,4258,1,5568,79,14,21,95,36,4742555,53,WEST,Highest_Doc,1,0,382881187,7050302,22817403,64780480,120481813
53,110422,1,0,0,5742,4329,2190,2190,1,52371,94,21,22,53,17,16592674,26,WEST,Highest_Masters,1,0,1168128061,67029749,79705072,21346775,0
54,110486,1,0,0,5742,1757,4364,3976,1,12235,83,23,15,80,62,30404359,31,WEST,Highest_Doc,1,0,247233145,21430149,24680157,26581609,0
55,110495,1,0,0,5742,1860,3786,3600,1,7136,87,22,15,82,60,27884528,30,WEST,Highest_Doc,1,0,313929729,18039797,23786824,26730544,171312
56,110510,1,0,0,5742,1256,3962,3310,1,14435,85,27,16,80,61,54616447,27,WEST,Highest_Doc,1,0,677938366,29144670,35031902,45301595,0
57,110529,1,0,0,5742,1697,3781,4074,1,38026,87,29,14,69,49,63689792,30,WEST,Highest_Doc,1,0,1022354531,49673121,43389845,52950628,0
58,110538,1,0,1,5742,2122,2598,3352,1,19999,83,25,16,64,44,34171019,41,WEST,Highest_Masters,1,0,538154510,34826832,36446588,30791790,0
59,110556,1,0,0,5742,901,4098,3807,1,15448,87,23,15,78,58,61438256,24,WEST,Highest_Doc,1,0,375756630,40239687,60708559,56770928,0
60,110565,1,0,0,5742,1212,4864,4170,1,45449,89,27,13,68,48,80571378,25,WEST,Highest_Doc,1,0,804184916,46894200,52758717,70274370,0
61,110574,1,0,0,5742,1148,5134,4138,1,13858,78,26,11,68,48,29595171,32,WEST,Highest_Doc,1,0,364840171,54293110,32869025,23566214,0
62,110583,1,0,1,5742,1104,3798,3300,1,67426,89,24,15,72,51,81106447,28,WEST,Highest_Doc,1,0,801907888,61293379,62878474,72061707,0
63,110592,1,0,1,5742,1043,5269,3582,1,31442,83,25,14,86,68,78536912,22,WEST,Highest_Doc,1,0,850346349,49167091,30365144,62794533,0
64,110608,1,0,0,5742,1275,4338,4022,1,27765,83,28,14,75,58,99218485,27,WEST,Highest_Doc,1,0,844801118,65163120,96560776,81934925,0
65,110617,1,0,0,5742,1676,3944,4174,1,25734,84,26,14,72,52,70843503,31,WEST,Highest_Doc,1,0,809322077,48420437,59433247,64996249,0
66,111081,0,0,1,52850,616,7656,7656,0,2254,60,5,19,94,24,1202616,45,WEST,Highest_Doc,0,0,270761544,8301679,5906248,22639267,71916390
67,111188,1,0,0,5742,1374,8597,8643,1,988,77,13,21,56,27,1225548,48,WEST,Highest_Masters,0,0,138667492,4408710,10849481,1217317,0
68,111948,0,1,1,56830,384,4570,4570,1,14252,85,12,23,82,19,6600888,48,WEST,Highest_Doc,1,0,1605493045,52105763,32436346,163922827,374358935
69,112075,0,1,1,37250,750,4750,4300,0,3327,68,20,20,84,27,2114036,60,WEST,Highest_Doc,1,1,175634097,4552165,15461152,26311274,72194206
70,112084,0,1,1,23022,1188,4642,4162,0,614,59,9,13,93,46,968575,61,WEST,Highest_Masters,1,0,4522812,996936,4150203,4995937,14209553
71,112260,0,0,1,56190,285,2130,6130,1,5306,87,8,24,47,18,1162337,21,WEST,Highest_Masters,0,0,2127714000,8303000,22249000,27531000,130522000
72,113698,0,0,1,47190,720,4714,4235,0,1971,87,10,22,83,26,1591496,53,WEST,Highest_Masters,1,0,120936382,4195307,9744288,27488640,61990754
73,114813,0,1,1,32954,498,3784,3225,0,959,71,13,6,84,65,8245526,70,WEST,Highest_Masters,1,0,81825283,10950010,10149316,15998677,65573886
74,115728,0,1,1,40368,536,4642,4163,0,1884,66,7,24,93,47,1549324,65,WEST,Highest_PostMasters,1,0,89669403,3811629,7958494,16742573,36422090
75,115755,1,0,1,5742,2122,3300,3300,1,10198,73,17,12,72,53,16922430,48,WEST,Highest_Masters,1,0,294451611,20330139,25710818,13674408,0
76,117104,0,1,1,16584,850,4742,4263,0,116,66,12,16,90,54,1176304,66,WEST,Highest_Masters,0,0,29969229,1073857,3338999,1468402,11758443
77,117140,0,0,1,44700,1150,4712,4232,1,8212,78,15,11,86,47,9313491,63,WEST,Highest_Doc,1,0,435518689,18493785,19889988,55922700,152853312
78,117627,0,1,1,33228,990,5524,6705,1,5113,79,16,18,91,47,4095308,65,WEST,Highest_Doc,1,0,192974775,8258579,7905506,2135935,74985961
79,117751,0,1,1,27950,790,3784,3226,1,1924,82,11,15,87,32,1675792,50,WEST,Highest_Doc,1,0,103536998,2845305,8646095,8695232,41056805
80,117946,0,1,0,51820,757,4642,4163,1,18576,83,10,22,84,15,4904018,34,WEST,Highest_Doc,1,0,1440708000,59331000,67355000,133682000,404979000
81,118693,0,0,0,45050,810,5220,5220,1,2471,71,17,27,99,34,1443612,45,WEST,Highest_Bachelor,0,0,36820361,2474806,7542179,21986849,27867009
82,118888,0,0,1,29340,1430,4178,4178,0,824,62,8,19,92,49,1757544,58,WEST,Highest_Doc,1,0,315223538,6956277,9581902,11889307,60424616
83,119173,0,1,0,43224,1250,6164,6164,0,1986,75,10,18,56,36,5849867,76,WEST,Highest_Doc,1,0,325045397,8852246,16973252,31811898,86898628
84,120403,0,0,1,46500,3180,3268,3268,0,2342,63,7,24,88,36,2028364,47,WEST,Highest_Masters,1,0,107442066,5528938,6832705,17687273,49376388
85,120537,0,1,1,33250,1200,4642,4163,0,794,85,13,17,97,54,1097060,70,WEST,Highest_Masters,1,0,35581278,1567301,5865751,341159,21358222
86,120865,0,1,0,31101,915,4642,4165,0,1543,70,13,19,98,43,1839188,69,WEST,Highest_Masters,1,0,89494987,3187430,5236562,12394365,46154233
87,120883,0,0,0,50370,724,4642,4136,0,14063,87,14,22,91,37,6695966,47,WEST,Highest_Doc,1,0,1134390428,29476408,39182776,98508974,319470703
88,121150,0,1,0,57750,252,2500,2500,0,11768,85,13,20,92,18,2961426,40,WEST,Highest_Doc,1,0,2088934000,91221000,69320000,130833000,416238000
89,121257,0,0,1,55734,144,1300,3815,0,4260,81,9,25,42,14,728178,26,WEST,Highest_Bachelor,0,0,315510897,4452561,18004238,16823631,62027593
90,121309,0,1,0,37600,700,4642,4164,1,2949,84,15,19,85,26,3590791,56,WEST,Highest_Doc,1,0,261446610,10900882,29024841,34260967,110371108
91,121345,0,0,1,54380,394,1500,1500,1,10388,86,6,25,69,21,1739875,12,WEST,Highest_Bachelor,0,0,3154346000,19345000,23277000,49734000,178801000
92,121691,0,0,1,52150,350,2934,4164,0,4900,75,12,23,85,31,4515696,57,WEST,Highest_Doc,1,0,465502200,13412530,27767746,79874443,141176774
93,122409,1,0,0,5742,1978,3515,3986,1,64784,89,27,17,53,33,53668461,26,WEST,Highest_Doc,1,0,1600312871,75172959,102612918,45186313,0
94,122436,0,1,0,52120,744,4642,4163,1,13171,84,13,19,71,17,4846778,36,WEST,Highest_Doc,1,0,1513057000,30499000,42018000,128231000,346121000
95,122506,0,0,0,47800,1250,2140,2140,0,502,79,3,24,100,21,249819,41,WEST,Highest_PostMasters,0,0,312979000,1493000,1835000,12166000,29998000
96,122597,1,0,1,5742,1264,4250,3853,1,31430,82,22,14,61,43,56180051,29,WEST,Highest_Doc,1,0,789840424,58100743,49083081,45663300,0
97,122612,0,1,0,51930,552,3800,3300,1,21477,76,12,20,82,28,9296731,47,WEST,Highest_Doc,1,0,1277161000,32673000,54814000,123887000,378569000
98,122728,0,1,1,36000,1000,4642,4163,0,710,69,13,15,92,38,2029387,64,WEST,Highest_Masters,1,1,119325308,7762674,8605773,16004652,38394459
99,122755,1,0,0,5742,2110,3893,3763,1,32375,86,25,14,60,39,51000927,26,WEST,Highest_Doc,1,0,1175566825,53368822,79146933,49397048,0
100,123457,0,1,0,32700,930,5000,2000,0,1276,72,13,15,93,47,1655657,64,WEST,Highest_Masters,1,0,37692155,1099353,7780811,9600311,21891224
101,123554,0,1,0,50460,200,4635,4158,1,5364,81,9,19,97,25,2948601,53,WEST,Highest_Doc,1,0,346418383,11972797,26986258,57197594,130612651
102,123572,1,0,0,5742,2210,3302,3358,1,13353,79,21,19,60,34,12986303,34,WEST,Highest_PostMasters,1,0,491149430,23235682,27348048,13733419,0
103,123651,0,1,1,35850,700,4650,4170,0,4055,75,16,26,96,46,4273396,88,WEST,Highest_PostMasters,1,0,94480021,2157748,10038464,28231495,48939468
104,123961,0,0,0,59260,1015,2278,3628,1,59712,91,9,16,65,20,19093166,26,WEST,Highest_Doc,0,0,14495427000,75196000,232320000,637975000,5529573000
105,125727,0,1,1,46980,1200,2300,2800,1,2493,75,11,31,97,20,1182116,76,WEST,Highest_Bachelor,1,0,309060246,4509519,11881402,32937419,67973722
106,125763,0,0,1,48924,390,1500,1500,1,5038,73,11,28,95,36,3128803,68,WEST,Highest_Masters,1,0,282882820,5081961,14028223,46168000,66458541
107,125897,0,0,1,41102,1494,4642,4163,0,1554,72,10,18,91,48,2712107,61,WEST,Highest_Masters,0,0,65624273,5041523,4232856,0,37861337
108,126076,0,0,1,15000,700,3800,3800,1,70,87,14,40,93,62,479978,0,WEST,Highest_Bachelor,0,0,14939821,106323,949238,505232,5571321
109,126182,1,0,1,5856,3704,3105,2952,0,1690,59,13,19,67,41,3726086,54,WEST,Highest_Doc,1,1,151672729,3298216,11508007,2345505,0
110,126562,1,0,1,7920,1481,6255,6255,0,9458,73,17,9,46,26,17063372,27,WEST,Highest_Doc,1,0,3026115603,94111074,33540191,18271992,0
111,126580,1,0,0,9208,1632,4660,4660,0,8944,71,15,16,58,30,13955844,40,WEST,Highest_Doc,1,0,671868927,26665694,20838764,9698018,0
112,126614,1,0,1,10728,1738,2556,4617,1,44203,85,18,23,50,15,22986261,26,WEST,Highest_Doc,1,1,3179343805,162318456,79943356,12300755,1291
113,126678,0,0,0,60390,474,2584,1354,0,10257,86,9,26,48,11,1142173,22,WEST,Highest_Masters,1,0,1232545121,21850566,29454433,40749836,162651595
114,126775,1,0,0,16650,2450,3065,2505,1,12044,92,17,25,76,15,3464964,39,WEST,Highest_Doc,1,0,736338669,25294221,15906506,2153749,0
115,126818,1,0,1,9426,2388,1665,1665,0,28843,85,16,19,60,23,25844312,38,WEST,Highest_Doc,1,0,2615653293,124306846,41812902,18026169,0
116,127060,0,0,0,52596,1179,2976,2823,0,22723,84,11,23,86,16,4822558,35,WEST,Highest_Doc,1,0,1851080133,96980930,58214211,195456126,517561837
117,127185,1,0,1,7056,1840,3652,2712,0,3497,68,15,23,87,36,5494707,38,WEST,Highest_Masters,1,0,210880478,8688086,10560787,21272269,0
118,127556,1,0,1,7787,899,3110,2958,0,8796,75,19,21,69,32,14421628,44,WEST,Highest_Doc,1,0,546834153,8021498,24492670,8538659,0
119,127741,1,0,1,7596,2466,3104,2950,0,9149,70,16,18,82,27,12710900,42,WEST,Highest_Doc,1,0,380089370,22250925,23561878,7961948,0
120,127918,0,1,0,38208,350,4504,2950,0,5912,73,11,14,63,23,3348648,42,WEST,Highest_Doc,1,0,224068186,15495253,24840778,44800639,131652611
121,128106,1,0,1,6349,2242,5356,5206,0,2181,68,15,14,73,36,7132809,58,WEST,Highest_Doc,1,0,244841877,9515758,7676044,5818864,377476
122,128391,1,0,1,6816,3830,3105,3105,1,2625,67,18,15,52,17,2292853,32,WEST,Highest_Masters,1,0,178222860,4422362,7636645,1406036,0
123,128498,0,1,1,34410,1000,7438,7438,0,1697,72,14,22,87,51,2728330,81,NORTH,Highest_PostMasters,1,0,76254091,3399233,8299472,10609568,32016824
124,128586,0,0,1,9400,250,3800,5600,1,24,53,6,45,74,68,136235,0,NORTH,Highest_Bachelor,0,0,6238435,37314,322675,411509,2282473
125,128744,0,0,0,32860,2900,10502,8282,0,6020,68,16,11,78,42,6365911,59,NORTH,Highest_Doc,1,0,128444000,5365000,15568000,44131000,87117000
126,128771,1,0,0,6162,5340,2256,2976,1,7724,78,14,15,60,38,15240085,52,NORTH,Highest_Doc,1,0,453755353,20719922,39899057,2414281,0
127,128902,0,0,1,58660,365,2000,1000,0,6882,87,9,27,94,16,1349183,42,NORTH,Highest_Bachelor,0,0,516820000,13853000,16067000,43358765,107475000
128,129020,1,0,0,14406,3428,3032,2754,1,34437,93,16,19,65,22,20506289,43,NORTH,Highest_Doc,1,0,5616826379,185321791,50539995,10112234,0
129,129215,1,0,0,6162,6142,2548,3050,0,5182,76,14,18,79,32,7273145,58,NORTH,Highest_Masters,1,0,383073491,15941983,20050631,1095581,0
130,129242,0,1,0,50550,775,1730,2280,1,12586,92,12,27,87,10,2099873,51,NORTH,Highest_Doc,1,0,854951548,16446538,31869323,90265205,209832690
131,129525,0,0,0,40490,3070,3469,3469,1,12660,81,8,26,87,28,6402911,62,NORTH,Highest_Doc,1,0,419406000,3456000,23094000,101191080,176454000
132,129774,0,0,1,32960,2112,2700,2050,1,1307,70,14,21,87,44,1283506,61,NORTH,Highest_Bachelor,1,0,42184925,1643065,5354090,9650795,20549436
133,129941,0,0,1,40170,1484,2578,5774,0,10671,79,18,26,93,28,6377820,83,NORTH,Highest_Doc,0,0,403547128,18006853,33625457,95359426,186315801
134,130226,0,0,0,48200,2560,2500,4700,1,19798,89,15,23,91,15,4777534,59,NORTH,Highest_Doc,1,0,1587314312,23967871,55191499,149542944,314688935
135,130253,0,1,0,44080,270,3150,3150,0,12189,87,14,26,91,17,4746256,59,NORTH,Highest_Doc,1,0,899337453,14970150,47240166,92335664,234061157
136,130314,0,1,1,39636,2100,2251,2251,0,1579,83,7,22,93,38,1566470,76,NORTH,Highest_Doc,1,0,104980000,3821000,6268000,16454000,70597000
137,130493,1,0,0,6162,5660,4408,4408,0,8504,77,12,19,79,41,15332628,59,NORTH,Highest_Doc,1,0,408038759,23747130,34057123,3929279,0
138,130590,0,0,0,56380,2670,1500,1500,1,5952,90,9,26,51,13,1414192,13,NORTH,Highest_Masters,1,0,961164109,9468217,29093907,59640621,163216358
139,130776,1,0,0,6162,5619,2250,2250,1,5196,75,12,17,58,34,7322566,54,NORTH,Highest_Doc,1,0,276761953,12871149,24231278,1456708,57664
140,130934,1,0,1,7038,1320,5888,5888,0,11317,74,16,26,73,47,10102274,61,SOUTH,Highest_Doc,1,0,357231585,5234985,14721098,2287373,0
141,130943,1,0,1,12730,1930,1800,1800,1,33656,90,15,23,64,15,13202396,47,SOUTH,Highest_Doc,1,0,4006103765,86265883,44090951,192213742,1078948142
142,131098,0,1,1,26934,350,2500,2500,0,1594,49,9,23,95,41,2548245,86,SOUTH,Highest_PostMasters,1,0,34931913,1193275,4811302,11991582,30048030
143,131159,0,1,0,50542,819,1009,1709,1,20036,85,11,21,44,14,4743940,36,SOUTH,Highest_Doc,1,0,2055125000,75185000,54545000,170186000,628110000
144,131283,0,1,0,48600,816,3150,3150,1,6258,86,11,25,90,12,1771371,50,SOUTH,Highest_Doc,1,0,882577000,15634790,31756535,101965358,235434000
145,131450,0,0,0,16512,526,5600,5600,0,412,74,6,17,82,56,3051605,40,SOUTH,Highest_Doc,1,0,475037842,15578534,12122590,7111660,152033967
146,131469,0,0,0,55961,88,1525,1525,1,26405,88,13,21,65,14,8134852,33,SOUTH,Highest_Doc,1,0,5100258000,207339000,108142000,340440000,1744948000
147,131876,0,1,1,24700,410,2770,2770,1,831,77,11,17,91,61,3828023,58,SOUTH,Highest_Masters,1,0,125397773,3916405,6366688,12780458,35790186
148,132408,0,1,1,11250,900,2000,2000,0,90,75,8,5,54,37,680096,27,SOUTH,Highest_Masters,1,0,33386553,228462,734985,318036,6090186
149,132471,0,1,1,30600,340,6634,3022,0,10671,68,15,19,80,47,8846496,52,SOUTH,Highest_Doc,0,0,218103852,6710398,14683461,58463372,138900527
150,132602,0,1,1,13844,950,7200,3100,0,5938,73,15,20,95,78,11308635,83,SOUTH,Highest_Masters,1,0,191000240,2206494,7142330,14858129,80528346
151,132657,0,0,1,37600,2250,8562,8674,0,8053,73,17,30,90,24,2924246,33,SOUTH,Highest_Doc,1,0,202368133,2729838,26397768,27572636,94711265
152,132879,0,1,1,16400,1230,4080,4080,0,193,50,8,31,97,65,554255,71,SOUTH,Highest_Masters,1,0,2117740,271153,1013202,362975,5532320
153,132903,1,0,1,4478,1890,4970,4970,0,47957,92,31,12,72,36,105242129,31,SOUTH,Highest_Doc,1,0,2017399110,117711560,64823909,126631734,0
154,133492,0,1,0,47044,660,3100,3030,0,4815,80,12,27,98,21,1945675,69,SOUTH,Highest_Bachelor,0,0,226479498,4423426,13849639,44735766,79518617
155,133526,0,1,1,14878,220,4276,4276,0,5364,54,17,7,29,25,4124477,24,SOUTH,Highest_Bachelor,0,0,40840876,2820166,3869095,1927873,23200847
156,133553,0,0,0,36456,1508,4822,4822,1,9581,79,18,26,87,24,7573528,44,SOUTH,Highest_Doc,0,0,1096271000,11897000,27760000,73275000,382669000
157,133650,1,0,1,3152,2633,6444,6444,1,9472,85,14,17,82,60,25613253,60,SOUTH,Highest_Doc,1,0,746557287,55224285,10342288,5695110,0
158,133669,1,0,1,2522,2357,7386,7368,1,25300,82,22,13,61,38,58837216,31,SOUTH,Highest_Doc,1,0,1190919753,70431413,29101693,31474258,0
159,133711,0,0,1,19940,100,3800,3800,1,5431,69,16,22,91,31,4163511,55,SOUTH,Highest_Masters,1,0,247787464,3119896,10929825,12024993,63182925
160,133809,0,0,1,17060,1000,3200,2200,0,317,69,11,38,96,29,645989,60,SOUTH,Highest_Bachelor,1,0,59525599,589828,1468822,1156643,20788242
