,UNITID,TYPE,FORPROFIT,BOARD,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,OFFCAMPUS_SELF_EXP,OFFCAMPUS_FAMILY_EXP,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,FULLTIME_RETENTIONRATE_SPRING,STUD_TO_FAL_RATIO,PRCNT_FIRSTYR_UG,PRCNT_UG_AWARDEDAID,PRCNT_UG_AWARDED_PELL,TOTAL_AMOUNT_PELL_TOUG,PRCENT_FLOANS_TOUG,STATE,HLOFFER,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
10,101541,0,1,1,17240,1400,3280,3280,0,432,63,5,18,95,55,571692,72,SOUTH,Highest_Bachelor,1,0,31270049,669507,1382833,2019208,9415776
11,101587,1,0,0,9100,1890,3505,3505,0,1834,63,14,14,78,53,5594415,67,SOUTH,Highest_Doc,1,0,101777589,5992220,9111864,597128,0
12,101693,0,1,1,22700,1665,4800,4800,0,2037,78,14,15,67,30,2505794,47,SOUTH,Highest_Doc,1,0,69808365,874487,2908818,14114661,27326468
13,101709,1,0,0,12090,1620,5984,6085,0,4954,78,12,22,90,39,4291888,55,SOUTH,Highest_PostMasters,1,0,126438432,8227788,12943789,84075,0
14,101879,1,0,0,9600,1020,2800,2800,0,2739,77,15,17,74,35,10211777,46,SOUTH,Highest_Doc,1,0,264947607,6760322,12747796,109026,0
15,101912,0,1,1,18974,1016,6800,6800,0,1135,74,10,22,86,54,3663289,75,SOUTH,Highest_Masters,0,0,104408271,3927896,5565380,7367675,57843238
16,102049,0,1,0,33248,950,5452,5302,1,3867,87,12,25,95,11,1885590,31,SOUTH,Highest_Doc,1,0,717316592,13000955,29910623,60730000,174210922
17,102094,1,0,0,7896,500,5370,5370,0,8084,76,17,17,72,39,18312268,55,SOUTH,Highest_Doc,1,0,1514346000,33680000,44931000,35000,0
18,102234,0,1,0,39336,2532,3496,3496,0,2742,81,13,25,99,37,2145023,81,SOUTH,Highest_PostMasters,1,0,150695783,2534760,6783661,31228807,38976023
19,102270,0,1,1,9548,1744,4572,4572,0,1230,56,18,26,90,79,3579888,80,SOUTH,Highest_Bachelor,1,0,68739990,1182778,2314781,1804795,17010814
20,102368,1,0,1,7800,1108,6766,6766,0,7018,77,18,11,72,41,23420075,64,SOUTH,Highest_Doc,1,0,558801599,18429461,39633247,424218,0
21,102377,0,0,1,19594,3020,7654,4855,0,11113,77,11,21,57,57,6906993,8,SOUTH,Highest_Doc,1,0,403219551,5485588,9052996,18376116,127114367
22,102553,1,0,1,7224,1526,8486,8486,0,3081,68,13,8,44,23,11549040,20,WEST,Highest_Doc,1,0,642709034,30436118,30382395,327450,267211
23,102614,1,0,0,7301,1868,4250,4250,0,1361,78,11,9,49,23,5588627,20,WEST,Highest_Doc,1,0,1125691161,35917438,24895295,227243,0
24,102632,1,0,0,7250,1602,3716,3716,0,488,63,10,6,41,17,1130513,16,WEST,Highest_Masters,1,0,101018534,5980831,4586905,118511,0
25,102669,0,1,1,20350,410,4410,4410,0,428,56,8,13,86,44,593483,50,WEST,Highest_Doc,1,0,144152746,408756,3101875,2947130,16024724
26,104151,1,0,0,10710,628,4412,4412,0,53516,86,18,22,85,33,97573231,35,WEST,Highest_Doc,1,0,4696817000,420381000,180549000,3007000,23000
27,104179,1,0,0,10990,1394,5550,3550,0,43540,85,15,17,77,29,48510329,33,WEST,Highest_Doc,1,1,3844898000,309535000,110358000,7814000,0
28,104717,0,0,0,16424,757,5700,5700,0,48918,74,21,10,72,45,124838879,58,WEST,Highest_Doc,1,0,1676203892,124506573,439695909,263747125,1183376966
29,105330,1,0,0,10243,1138,4720,4720,0,37386,76,22,18,77,33,38295244,40,WEST,Highest_Doc,1,1,1191325261,44415022,78531430,171181,11586
30,105589,0,0,0,31944,1665,1923,1923,0,317,59,9,11,90,45,1033395,54,WEST,Highest_Doc,1,0,28971986,2142618,3976695,4318953,18227209
31,105899,0,1,1,27500,1750,6000,6200,0,778,47,12,24,93,38,1628821,64,WEST,Highest_Bachelor,1,0,56555251,2757526,7181767,10494088,21301937
32,106245,1,0,0,6495,3017,7793,5674,0,4363,73,13,7,61,39,14661940,43,SOUTH,Highest_Doc,1,0,321803629,21769313,9028815,5797178,0
33,106342,0,1,1,28550,865,2000,2500,0,2062,69,11,26,98,42,1268296,64,SOUTH,Highest_Bachelor,1,0,123601138,2043510,7082902,16049889,26695592
34,106397,1,0,0,7568,1816,4362,4362,0,19777,85,19,20,70,19,18636365,36,SOUTH,Highest_Doc,1,0,2285358596,67439782,43133274,30883612,0
