,index,UNITID,TYPE,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,STATE,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
638,114,126775,1,16650,2450,12044,3464964,WEST,25294221,15906506,2153749,0
639,808,204185,0,32200,400,3422,2884998,MidWest,3780783,11476859,31354708,60717856
640,254,146719,0,45500,560,25453,14211103,MidWest,129382859,54104700,245234017,583729430
641,429,165334,0,48250,352,7153,2254979,NORTH,17383000,15538000,72713000,123609000
642,588,181853,0,19410,400,555,817024,MidWest,789061,2495141,4216611,10900092
643,178,137953,0,11980,1150,163,906229,SOUTH,455177,803034,731469,3889132
644,663,192448,0,37182,1954,14341,10993905,NORTH,46280691,45017844,92293433,305919989
645,389,161235,1,7350,1125,599,1368735,NORTH,2025000,3644000,277000,0
646,132,129774,0,32960,2112,1307,1283506,NORTH,1643065,5354090,9650795,20549436
647,785,200800,1,9596,2265,14553,20904421,MidWest,37118958,17177050,98,15964
648,1165,239071,0,16400,1250,282,1157850,MidWest,1463327,1726306,1619086,15842543
649,887,212160,1,7716,2828,3273,6065925,NORTH,12958751,13075653,4265986,0
650,289,151351,1,9815,1406,44129,28106070,MidWest,219042629,68710923,0,0
651,246,145691,0,34070,550,3781,2027886,MidWest,4510416,11571374,21014442,36103567
652,552,178244,0,27946,1414,765,3171603,MidWest,2692828,8571378,18016666,35130861
653,89,121257,0,55734,144,4260,728178,WEST,4452561,18004238,16823631,62027593
654,192,139311,1,4064,1504,2362,16019902,SOUTH,10703802,10265832,0,0
655,699,196006,1,7070,1656,5982,8579430,NORTH,3288445,7754423,7767760,0
656,1218,482936,1,3152,1788,1665,1899255,SOUTH,10330316,4609829,3267951,0
657,436,165802,0,31700,1000,2612,2537981,NORTH,1520284,4527547,9880621,22859294
658,700,196015,1,7070,1619,2961,8060649,NORTH,2226370,13660889,5863369,0
659,660,191931,0,39380,2200,10319,4394385,NORTH,8973000,22534000,56796000,103201000
660,651,190983,0,34578,1650,1695,1254802,NORTH,2547351,6712869,13294991,35203507
661,673,193308,0,14796,1560,4083,22459601,NORTH,3466094,25570202,35321454,94285926
662,146,131469,0,55961,88,26405,8134852,SOUTH,207339000,108142000,340440000,1744948000
663,118,127556,1,7787,899,8796,14421628,WEST,8021498,24492670,8538659,0
664,1187,240471,1,6428,1635,2782,6242297,MidWest,13956304,16624626,1202874,0
665,793,201885,1,9723,1678,23960,26854532,MidWest,153310718,60098096,6027033,0
666,710,196112,1,7070,1327,3053,4092149,NORTH,7317562,5726073,3875927,0
667,772,199865,0,37500,850,1273,1284674,SOUTH,2135966,5137682,14834829,27632588
668,692,195234,0,33152,1202,6373,5147857,NORTH,4069403,13169633,44672424,76476770
669,26,104151,1,10710,628,53516,97573231,WEST,420381000,180549000,3007000,23000
670,14,101879,1,9600,1020,2739,10211777,SOUTH,6760322,12747796,109026,0
671,500,172699,1,12094,923,16582,25557730,SOUTH,60709210,23153970,668327,27600
672,82,118888,0,29340,1430,824,1757544,WEST,6956277,9581902,11889307,60424616
673,757,199157,1,3728,2901,7496,19059087,SOUTH,22589771,5063862,9452032,0
674,1042,225511,1,8449,1008,28645,76162282,SOUTH,230412803,40413791,26602650,0
675,774,199999,1,3401,2540,5182,15367574,SOUTH,8059018,7339762,5881456,0
676,600,183080,1,11870,2622,7129,4975854,NORTH,9816835,11507283,414075,0
677,273,150136,1,9482,662,20167,28439660,MidWest,58409137,21915321,33179354,0
678,1094,231095,0,39000,200,46,291963,NORTH,75875,519098,3912216,5391270
679,466,168218,0,58120,328,6581,2692908,NORTH,24235000,51571000,67876000,229803000
680,1141,236948,1,10629,1116,43778,31909373,WEST,525499169,63097224,36911219,0
681,1082,229179,1,5537,2718,5824,19869930,SOUTH,35985069,16773427,10208605,0
682,867,210669,0,50480,500,4380,2615264,NORTH,6541154,19152631,55591176,74686646
683,447,166638,1,14187,490,14029,25448299,NORTH,46429000,37692000,7302000,49000
684,371,159382,1,4894,1774,2946,6190040,SOUTH,1644350,2293690,0,0
685,557,178624,1,5106,3394,8143,7921712,MidWest,4513453,15672807,2695387,0
