,UNITID,TYPE,FORPROFIT,BOARD,FEE1_INDISTRICT_UG,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT,Highest_Bachelor,STATE_SOUTH,FULLTIME_RETENTIONRATE_SPRING
127,128902,0,0,1,365,0,6882,1349183,0,0,516820000,13853000,16067000,43358765,107475000,1,0,87
128,129020,1,0,0,3428,1,34437,20506289,1,0,5616826379,185321791,50539995,10112234,0,0,0,93
129,129215,1,0,0,6142,0,5182,7273145,1,0,383073491,15941983,20050631,1095581,0,0,0,76
130,129242,0,1,0,775,1,12586,2099873,1,0,854951548,16446538,31869323,90265205,209832690,0,0,92
131,129525,0,0,0,3070,1,12660,6402911,1,0,419406000,3456000,23094000,101191080,176454000,0,0,81
132,129774,0,0,1,2112,1,1307,1283506,1,0,42184925,1643065,5354090,9650795,20549436,1,0,70
133,129941,0,0,1,1484,0,10671,6377820,0,0,403547128,18006853,33625457,95359426,186315801,0,0,79
134,130226,0,0,0,2560,1,19798,4777534,1,0,1587314312,23967871,55191499,149542944,314688935,0,0,89
135,130253,0,1,0,270,0,12189,4746256,1,0,899337453,14970150,47240166,92335664,234061157,0,0,87
136,130314,0,1,1,2100,0,1579,1566470,1,0,104980000,3821000,6268000,16454000,70597000,0,0,83
137,130493,1,0,0,5660,0,8504,15332628,1,0,408038759,23747130,34057123,3929279,0,0,0,77
138,130590,0,0,0,2670,1,5952,1414192,1,0,961164109,9468217,29093907,59640621,163216358,0,0,90
139,130776,1,0,0,5619,1,5196,7322566,1,0,276761953,12871149,24231278,1456708,57664,0,0,75
140,130934,1,0,1,1320,0,11317,10102274,1,0,357231585,5234985,14721098,2287373,0,0,1,74
141,130943,1,0,1,1930,1,33656,13202396,1,0,4006103765,86265883,44090951,192213742,1078948142,0,1,90
142,131098,0,1,1,350,0,1594,2548245,1,0,34931913,1193275,4811302,11991582,30048030,0,1,49
143,131159,0,1,0,819,1,20036,4743940,1,0,2055125000,75185000,54545000,170186000,628110000,0,1,85
144,131283,0,1,0,816,1,6258,1771371,1,0,882577000,15634790,31756535,101965358,235434000,0,1,86
145,131450,0,0,0,526,0,412,3051605,1,0,475037842,15578534,12122590,7111660,152033967,0,1,74
146,131469,0,0,0,88,1,26405,8134852,1,0,5100258000,207339000,108142000,340440000,1744948000,0,1,88
147,131876,0,1,1,410,1,831,3828023,1,0,125397773,3916405,6366688,12780458,35790186,0,1,77
148,132408,0,1,1,900,0,90,680096,1,0,33386553,228462,734985,318036,6090186,0,1,75
149,132471,0,1,1,340,0,10671,8846496,0,0,218103852,6710398,14683461,58463372,138900527,0,1,68
150,132602,0,1,1,950,0,5938,11308635,1,0,191000240,2206494,7142330,14858129,80528346,0,1,73
151,132657,0,0,1,2250,0,8053,2924246,1,0,202368133,2729838,26397768,27572636,94711265,0,1,73
152,132879,0,1,1,1230,0,193,554255,1,0,2117740,271153,1013202,362975,5532320,0,1,50
153,132903,1,0,1,1890,0,47957,105242129,1,0,2017399110,117711560,64823909,126631734,0,0,1,92
154,133492,0,1,0,660,0,4815,1945675,0,0,226479498,4423426,13849639,44735766,79518617,1,1,80
155,133526,0,1,1,220,0,5364,4124477,0,0,40840876,2820166,3869095,1927873,23200847,1,1,54
156,133553,0,0,0,1508,1,9581,7573528,0,0,1096271000,11897000,27760000,73275000,382669000,0,1,79
157,133650,1,0,1,2633,1,9472,25613253,1,0,746557287,55224285,10342288,5695110,0,0,1,85
158,133669,1,0,1,2357,1,25300,58837216,1,0,1190919753,70431413,29101693,31474258,0,0,1,82
159,133711,0,0,1,100,1,5431,4163511,1,0,247787464,3119896,10929825,12024993,63182925,0,1,69
160,133809,0,0,1,1000,0,317,645989,1,0,59525599,589828,1468822,1156643,20788242,1,1,69
161,133881,0,0,0,900,0,9803,3678491,1,0,338897187,11895433,20285122,53976863,182091340,0,1,82
162,133951,1,0,0,1844,1,16904,112894409,1,0,1562282554,129453759,84083695,67561957,0,0,1,91
163,133979,0,1,1,3360,0,3929,3986184,1,0,90969603,2767092,7493762,1588130,43647824,0,1,50
164,134079,0,1,1,800,0,9116,3075503,1,0,282296140,3171177,16440401,42959622,93463554,0,1,81
165,134097,1,0,1,1877,1,63691,47252119,1,0,3047918930,136608785,62325892,125182358,0,0,1,95
166,134130,1,0,0,1904,0,48193,46046513,1,0,4362583000,247609000,48665000,180670000,0,0,1,97
167,135726,0,0,1,1602,0,40133,8081880,1,0,5539608617,191910447,56874463,278812000,3659157259,0,1,91
168,136172,1,0,0,1968,0,16551,22120952,1,0,605865392,42008944,19146459,26036321,0,0,1,84
169,136215,0,0,0,1060,1,13727,11584994,1,0,1604463622,98760202,46317589,99300367,655006655,0,1,80
170,136330,0,1,0,596,0,1581,3878684,1,0,220823000,5056000,12292000,35145000,79270000,0,1,73
171,136774,0,0,1,4410,0,2420,2061232,0,0,394615231,17273726,8030585,19514126,81728064,1,1,80
172,137032,0,1,0,650,0,5662,19522244,1,0,243651425,16704423,37572412,28564633,156362386,0,1,64
173,137351,1,0,0,1851,0,38696,69269049,1,0,2200401343,155482712,69189812,84007979,712125,0,1,92
174,137476,0,1,1,1140,0,5649,3560674,0,0,109354722,5257264,10532557,26234244,55274768,0,1,49
175,137546,0,0,1,360,1,11957,5299537,1,0,588771463,14494168,28345882,100436783,141030387,0,1,76
176,137564,0,1,1,1000,0,5689,11777538,1,0,135061336,13135879,22378521,1266437,90582897,0,1,66
177,137847,0,0,0,2082,1,24886,7958032,1,0,788681570,20123387,28559258,82749427,211596886,0,1,78
178,137953,0,1,1,1150,0,163,906229,0,0,3507473,455177,803034,731469,3889132,0,1,52
179,137962,0,1,1,1100,0,105,581285,0,0,9350794,378730,973961,794805,3688068,1,1,74
180,138275,0,1,1,550,0,1177,2662428,1,0,29341613,1126213,6591096,5793756,18734911,0,1,52
181,138293,0,0,1,2892,0,3282,1688807,0,0,17075718,362421,6766170,0,14643316,0,1,49
182,138354,1,0,0,2041,0,7232,15217358,1,0,293885561,33800879,12765918,12761240,0,0,1,84
183,138558,1,0,0,1002,1,2403,7135499,1,0,76103767,9278544,4188527,3336408,0,1,1,74
184,138600,0,1,1,330,1,1838,2034928,0,0,355969145,8118443,10114499,27319761,59508095,0,1,83
185,138716,1,0,0,1870,1,7655,18027613,1,0,215696734,7542697,6411050,0,0,0,1,74
186,138868,0,1,1,1150,0,1044,4910777,1,0,44703708,3602429,5951115,6318249,27646915,0,1,65
187,138947,0,1,1,2705,1,15613,11465548,1,0,258178622,9363011,10314416,21791623,102161831,0,1,63
188,139144,0,0,0,226,1,4166,2047008,1,0,1203857602,9540780,18813784,44562669,92782947,0,1,84
189,139199,0,0,1,1720,0,1139,3528385,1,0,138158492,3711111,16425875,10477421,58040901,0,1,53
190,139205,0,1,1,1500,0,483,1466479,1,0,30763062,365117,2284052,4239419,10270798,1,1,46
191,139250,1,0,0,1370,1,2267,6569067,1,0,72170258,2183040,3136211,0,0,1,1,64
192,139311,1,0,1,1504,1,2362,16019902,1,0,134026358,10703802,10265832,0,0,0,1,69
193,139366,1,0,0,1870,1,5336,12855594,1,0,151089719,18165197,10006336,0,0,0,1,75
194,139393,0,1,1,1040,0,612,849758,1,0,113015563,1809938,6626033,16201854,29648337,0,1,84
195,139630,0,1,1,460,0,946,1908640,1,0,31895292,349538,4987752,8018578,15818523,1,1,62
196,139658,0,1,0,798,0,28211,6803400,0,0,17172361000,165695000,98691000,293415000,6577807000,0,1,93
197,139719,1,0,1,1768,1,5693,9062320,1,0,157395026,13640213,4756718,0,0,0,1,73
198,139755,1,0,1,2594,1,40852,9476413,0,0,2797557110,85952415,44766713,0,29213875,0,1,97
199,139764,1,0,1,1400,1,2598,4615446,1,0,88885718,3958033,4037248,0,0,0,1,66
200,139861,1,0,1,2016,1,4515,5034190,1,0,228741829,16703362,10524826,30644959,0,0,1,82
201,139931,1,0,0,2114,1,17250,39805340,1,0,756923418,54384255,37124893,39316,0,0,1,79
202,139940,1,0,1,2128,1,20409,63874757,1,0,1326742316,99613905,51985456,0,0,0,1,81
203,139959,1,0,1,2290,1,28206,26543062,1,0,2644567718,166353017,50363902,1943134,0,0,1,94
204,139968,1,0,1,1226,0,2257,8665799,1,0,92697822,3289397,2835245,0,0,1,1,52
205,140234,0,1,1,370,0,1624,1707360,1,0,156873904,1405349,7312256,14421938,32068646,0,1,58
206,140252,0,0,1,1491,0,408,1505000,0,0,128624795,2575735,9440107,1246650,74006143,0,1,72
207,140447,0,0,0,300,1,5651,8100576,1,0,834032550,28819808,26751075,92346790,293096405,0,1,87
208,140553,0,0,0,2430,0,3258,5661410,1,0,402541341,8385400,42361149,24462198,120737805,1,1,86
209,140696,0,0,1,280,1,2386,2608626,0,0,121780762,1958854,10977732,31302983,31663378,1,1,77
210,140720,0,1,1,1890,0,2403,1931995,1,0,38832676,183009,1711329,1063456,15309549,1,1,18
211,140818,0,1,1,220,0,1457,2778146,1,0,155494183,2487082,9106907,1691903,48046183,0,1,77
212,140872,0,1,1,1000,0,1142,2597226,1,0,111792744,1203980,7436658,13148007,32820363,0,1,60
213,140951,0,0,1,500,0,14327,10539223,0,0,1256254088,27454690,49801450,126166744,332672409,0,1,75
214,140960,1,0,1,1838,1,10032,12501441,1,0,171899382,9465998,6497935,3191556,0,0,1,69
215,140988,0,1,1,430,0,1548,2712434,1,0,59873616,1023391,5978164,11879782,23202863,0,1,63
216,141060,0,0,1,4030,1,9118,4964062,1,0,668899439,9566732,13774966,19853021,102759285,1,1,89
217,141167,0,0,1,1030,0,840,645511,1,0,22184125,570697,3524093,3211601,14469689,0,1,59
218,141237,0,1,1,1010,0,702,1343417,0,0,54440443,972513,6493710,7032368,22064737,0,1,79
219,141264,1,0,0,2212,1,9887,21024380,1,0,345283921,13130750,18654016,0,0,0,1,73
220,141325,0,1,1,1200,0,1142,1369858,1,0,93465139,1016197,2614310,6429188,17652689,0,1,74
221,141334,1,0,0,2150,1,6634,23203914,1,0,367323248,30775751,19135431,0,0,0,1,73
222,141361,0,1,0,1055,0,2216,1589091,1,0,213349901,2742035,6490178,18387724,29002834,0,1,60
223,141486,0,1,1,114,0,1714,3332825,1,0,103384806,10328514,6170658,15077701,49066037,0,0,81
224,141565,1,0,0,494,0,3152,5992574,1,0,239209908,9958463,10972764,8335,0,0,0,71
225,141574,1,0,0,882,1,13240,16693156,1,0,1038202775,105536332,41214885,3013303,64094,0,0,80
226,141644,0,0,0,500,1,8296,3714419,1,0,166381446,7428201,12406899,31032684,80483546,0,0,66
227,142090,0,1,1,650,0,52,195011,0,0,6696748,166910,411252,468000,3114861,1,0,67
228,142115,1,0,0,2536,0,15511,20866542,1,0,891622641,42892154,22775948,523765,0,0,0,78
229,142285,1,0,0,2122,0,9938,11787273,1,0,587344677,25162065,22312904,4894414,0,0,0,77
230,142294,0,0,1,755,0,3677,1274553,1,0,187183423,2810811,9322180,25412151,33006893,0,0,84
231,142461,0,1,1,650,0,2793,1835264,1,0,150131088,3787860,10425629,18630706,40934016,0,0,79
232,143118,0,0,1,360,1,2965,8519897,1,0,221966879,11706759,15888778,38938712,91967461,0,0,78
233,143358,0,0,0,420,1,10202,6293160,1,0,713548498,10527617,12121752,70704481,161181256,0,0,86
234,144005,1,0,1,3716,0,4151,6141930,1,1,177158439,9163866,6837647,4522760,0,0,0,54
235,144281,0,0,1,1176,0,8061,11046566,0,0,522591069,22335583,31840497,51917500,184832996,0,0,69
236,144351,0,1,1,976,0,4786,3013653,1,0,102332915,5464553,25194641,22768560,76859464,0,0,71
237,144740,0,1,0,651,1,27869,19033483,1,0,1757708000,61631000,74658000,252019000,537744000,0,0,83
238,144892,1,0,1,2895,1,8999,10012844,1,1,306313979,11839640,17401879,9442096,0,0,0,74
