UNITID,TYPE,FORPROFIT,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,TUITION2_INSTATE_UG,FEE2_INSTATE_UG,TUITION3_OUTSTATE_UG,FEE3_OUTOFSTATE_UG,INSTATE_TUITION_FEES_P,OUTSTATE_TUITION_FEES_P,OFFCAMPUS_SELF_EXP,OFFCAMPUS_FAMILY_EXP,ADMS_REUIRED_GPA,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,NUM_FULLTIME_FALLCOHRT,FULLTIME_RETENTIONRATE_SPRING,STUD_TO_FAL_RATIO,TOTAL_FIRSTYR_UG,PRCNT_FIRSTYR_UG,PRCNT_UG_AWARDEDAID,TOTAL_AID_UG,PRCNT_UG_AWARDED_PELL,TOTAL_AMOUNT_PELL_TOUG,PRCENT_FLOANS_TOUG,TOTAL_AMOUNT_FLOANS_UG,TOTAL_SALARY_FT_CONTRACT,DUAL_ENROLLMENT,AP_CREDIT,TEACHER_CERT,COUNSELING_SERVICES,EMPLOYMENT_SERVICE,ACADEMIC_LIBRARY,TUITION_GURANTEE,TUITION_PAYMENTPLAN,ATHASSOC,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,TOTAL_PELL,STATEGRANT,LOCAL_GRANT,DISCOUNTSAPPLIED_TO_TUTFEES,Highest_Bachelor,STATE_SOUTH
102094,1,0,1,1,1,0,7896,500,7896,500,15792,500,8396,16292,5370,5370,1,0,8084,1600,76,17,1600,17,72,45211943,39,18312268,55,59255751,23826647.0,1,1,1,1,1,1,0,1,1,1514346000,1180763000,33680000,44931000,18170000,35000,0,38995000,0,1
102234,0,1,1,0,1,0,39336,2532,39336,2532,39336,2532,41868,41868,3496,3496,0,0,2742,292,81,13,292,25,99,37783820,37,2145023,81,9233807,4151404.0,1,1,1,1,1,1,0,1,1,150695783,69298942,2534760,6783661,2199991,31228807,38976023,643228,0,1
102270,0,1,1,0,1,1,9548,1744,9548,1744,9548,1744,11322,11322,4572,4572,1,0,1230,231,56,18,227,26,90,6281267,79,3579888,80,5005094,21689180.115322582,1,1,1,1,1,1,0,1,1,68739990,47762503,1182778,2314781,3606677,1804795,17010814,0,1,1
102368,1,0,1,1,1,1,7800,1108,7800,1108,15600,1108,8908,16708,6766,6766,1,0,7018,1365,77,18,1395,11,72,57392547,41,23420075,64,46052351,21689180.115322582,1,1,1,1,1,1,0,1,1,558801599,366372406,18429461,39633247,25250249,424218,0,27568407,0,1
102377,0,0,1,0,1,1,19594,3020,19594,3020,19594,3020,22614,22614,7654,4855,1,0,11113,518,77,11,513,21,57,36411491,57,6906993,8,1314605,21689180.115322582,1,1,1,1,1,1,0,1,1,403219551,138268783,5485588,9052996,6721945,18376116,127114367,1470960,0,1
102553,1,0,1,1,1,1,7224,1526,7224,1526,23072,2156,8622,25228,8486,8486,0,0,3081,789,68,13,1007,8,44,34392186,23,11549040,20,15564270,33935335.0,1,1,1,1,1,1,0,1,1,642709034,139818803,30436118,30382395,12259696,327450,267211,11366588,0,0
102614,1,0,1,1,1,0,7301,1868,7301,1868,23319,2519,7176,21312,4250,4250,1,0,1361,348,78,11,539,9,49,21079651,23,5588627,20,8588461,24994426.0,1,1,1,1,1,1,0,1,1,1125691161,420376940,35917438,24895295,6269293,227243,0,6702094,0,0
102632,1,0,1,1,1,0,7250,1602,7250,1602,23154,2248,6960,21096,3716,3716,1,0,488,60,63,10,109,6,41,3734898,17,1130513,16,1891078,6593060.0,1,1,1,1,1,1,0,1,0,101018534,22949253,5980831,4586905,1288675,118511,0,1748965,0,0
102669,0,1,0,0,1,1,20350,410,20350,410,20350,410,20760,20760,4410,4410,1,0,428,48,56,8,45,13,86,3927991,44,593483,50,1154510,2321579.0,1,1,1,1,1,1,0,1,0,144152746,13314796,408756,3101875,647359,2947130,16024724,104250,0,0
104151,1,0,1,1,1,0,10710,628,10710,628,28800,628,11338,29428,4412,4412,0,0,53516,13837,86,18,13837,22,85,575533851,33,97573231,35,139147909,298228010.0,1,1,1,1,1,1,0,1,1,4696817000,3498626000,420381000,180549000,173823000,3007000,23000,462730000,0,0
